date,symbol,open,high,low,close,volume,mktcap
2010-01-04,CSCO,24.11,24.84,24.01,24.69,59833590.0,142031323650.0
2010-01-05,CSCO,24.6,24.73,24.38,24.58,45116980.0,141398539300.0
2010-01-06,CSCO,24.54,24.74,24.34,24.42,35712180.0,140478125700.0
2010-01-07,CSCO,24.3,24.57,24.17,24.53,31532340.0,141110910050.0
2010-01-08,CSCO,24.38,24.7,24.25,24.66,39093520.0,141858746100.0
2010-01-11,CSCO,24.64,24.89,24.41,24.59,35810810.0,141456065150.0
2010-01-12,CSCO,24.44,24.5,24.08,24.2,35758140.0,139212557000.0
2010-01-13,CSCO,24.28,24.7,24.2,24.64,43603990.0,141743694400.0
2010-01-14,CSCO,24.58,25.08,24.52,24.95,52183920.0,143526995750.0
2010-01-15,CSCO,25.0,25.1,24.3,24.4,51631560.0,140363074000.0
2010-01-19,CSCO,24.54,24.88,24.5,24.85,37421370.0,142951737250.0
2010-01-20,CSCO,24.62,24.73,24.12,24.41,42115010.0,140420599850.0
2010-01-21,CSCO,24.51,24.65,23.86,23.98,54668060.0,137946988300.0
2010-01-22,CSCO,23.84,23.93,22.87,22.97,70398640.0,132136877450.0
2010-01-25,CSCO,23.1,23.18,22.74,22.99,51207260.0,132251929150.0
2010-01-26,CSCO,22.8,23.2,22.64,22.9,55310340.0,131734196500.0
2010-01-27,CSCO,22.89,23.26,22.76,23.15,51802380.0,133172342750.0
2010-01-28,CSCO,23.18,23.22,22.35,22.52,63584510.0,129548214200.0
2010-01-29,CSCO,22.95,23.13,22.44,22.47,73393650.0,129260584950.0
2010-02-01,CSCO,22.65,22.94,22.38,22.73,54233710.0,130756257050.0
2010-02-02,CSCO,22.81,23.11,22.51,23.02,54043100.0,132424506700.0
2010-02-03,CSCO,23.16,23.25,22.85,23.07,78321380.0,132712135950.0
2010-02-04,CSCO,23.41,23.77,23.1,23.16,125997600.0,133229868600.0
2010-02-05,CSCO,23.3,23.88,23.16,23.7,99122460.0,136336264500.0
2010-02-08,CSCO,23.78,23.9,23.48,23.5,69876230.0,135179994915.0
2010-02-09,CSCO,23.8,24.0,23.58,23.89,60330020.0,137429255650.0
2010-02-10,CSCO,23.86,24.0,23.62,23.76,50557260.0,136681419600.0
2010-02-11,CSCO,23.67,23.99,23.54,23.93,42455000.0,137659359050.0
2010-02-12,CSCO,23.72,23.8,23.51,23.76,53833920.0,136681419600.0
2010-02-16,CSCO,23.96,24.0,23.8,24.0,46757110.0,138062040000.0
2010-02-17,CSCO,23.99,24.09,23.74,24.07,48496620.0,137816058520.0
2010-02-18,CSCO,24.05,24.36,23.9,24.28,41090820.0,139018442080.0
2010-02-19,CSCO,24.13,24.38,24.06,24.36,38781100.0,139476492960.0
2010-02-22,CSCO,24.39,24.46,24.15,24.3,31212920.0,139132954800.0
2010-02-23,CSCO,24.16,24.23,23.83,24.05,36281470.0,137701545800.0
2010-02-24,CSCO,24.09,24.45,24.08,24.34,33179540.0,139361980240.0
2010-02-25,CSCO,24.0,24.39,23.87,24.33,37111740.0,139304723880.0
2010-02-26,CSCO,24.36,24.46,24.21,24.33,30718910.0,139304723880.0
2010-03-01,CSCO,24.33,24.65,24.32,24.6,41774150.0,140850645600.0
2010-03-02,CSCO,24.66,24.75,24.44,24.61,51398240.0,140907901960.0
2010-03-03,CSCO,24.7,24.93,24.6,24.84,50668540.0,142224798240.0
2010-03-04,CSCO,24.84,24.98,24.66,24.95,40240330.0,142854618200.0
2010-03-05,CSCO,24.97,25.24,24.92,25.21,57011590.0,144343283560.0
2010-03-08,CSCO,25.31,26.36,25.26,26.13,115938400.0,149610868680.0
2010-03-09,CSCO,26.33,26.48,25.7,26.13,160816600.0,149610868680.0
2010-03-10,CSCO,25.85,26.06,25.75,25.87,69615330.0,148133654592.0
2010-03-11,CSCO,25.79,25.98,25.72,25.97,37312400.0,148694766920.0
2010-03-12,CSCO,26.0,26.03,25.78,25.88,31137330.0,148179459680.0
2010-03-15,CSCO,25.76,26.09,25.74,26.08,36745020.0,149324586880.0
2010-03-16,CSCO,26.03,26.34,26.01,26.15,53883200.0,149725381400.0
2010-03-17,CSCO,26.2,26.4,26.18,26.26,32450590.0,150355201360.0
2010-03-18,CSCO,26.24,26.42,26.22,26.34,27059580.0,150813252240.0
2010-03-19,CSCO,26.37,26.44,26.07,26.15,55637520.0,149725381400.0
2010-03-22,CSCO,25.92,26.38,25.89,26.28,31898780.0,150469714080.0
2010-03-23,CSCO,26.19,26.75,26.17,26.64,48792820.0,152530943040.0
2010-03-24,CSCO,26.56,26.62,26.44,26.45,35287720.0,151443072200.0
2010-03-25,CSCO,26.66,26.85,26.42,26.43,35136990.0,151328559480.0
2010-03-26,CSCO,26.44,26.75,26.34,26.47,37520010.0,151551859284.0
2010-03-29,CSCO,26.61,26.69,26.45,26.51,30382870.0,151786610360.0
2010-03-30,CSCO,26.64,26.71,26.34,26.65,32974830.0,152588199400.0
2010-03-31,CSCO,26.52,26.61,25.96,26.03,54738740.0,149038305080.0
2010-04-01,CSCO,26.2,26.3,25.66,25.83,56184080.0,147893177880.0
2010-04-05,CSCO,25.87,26.24,25.8,26.17,34802560.0,149839894120.0
2010-04-06,CSCO,26.13,26.38,26.05,26.22,31121810.0,150126175920.0
2010-04-07,CSCO,26.1,26.59,26.1,26.34,43824080.0,150813252240.0
2010-04-08,CSCO,26.28,26.39,26.0,26.28,38415660.0,150469714080.0
2010-04-09,CSCO,26.28,26.64,26.22,26.6,34610250.0,152301917600.0
2010-04-12,CSCO,26.57,26.74,26.49,26.53,28352770.0,151901123080.0
2010-04-13,CSCO,26.45,26.5,26.17,26.44,42788350.0,151385815840.0
2010-04-14,CSCO,26.63,26.93,26.56,26.88,44508320.0,153905095680.0
2010-04-15,CSCO,27.0,27.25,26.95,27.21,47003910.0,155794555560.0
2010-04-16,CSCO,27.15,27.44,26.79,26.98,68522610.0,154477659280.0
2010-04-19,CSCO,26.93,27.11,26.55,27.07,43882100.0,154992966520.0
2010-04-20,CSCO,27.19,27.45,27.06,27.18,47057940.0,155622786480.0
2010-04-21,CSCO,27.17,27.4,27.12,27.24,42602560.0,155966324640.0
2010-04-22,CSCO,27.08,27.37,26.72,27.32,44843390.0,156424375520.0
2010-04-23,CSCO,27.38,27.51,27.21,27.47,39303030.0,157283220920.0
2010-04-26,CSCO,27.58,27.7,27.48,27.57,35663000.0,157855784520.0
2010-04-27,CSCO,27.41,27.58,26.73,27.01,57166100.0,154649428360.0
2010-04-28,CSCO,27.11,27.38,26.82,27.04,54471250.0,154809746168.0
2010-04-29,CSCO,27.1,27.64,27.1,27.53,41761970.0,157626759080.0
2010-04-30,CSCO,27.68,27.74,26.92,26.93,41880650.0,154191377480.0
2010-05-03,CSCO,27.03,27.69,27.01,27.54,44974900.0,157684015440.0
2010-05-04,CSCO,27.24,27.25,26.4,26.56,52337880.0,152058578070.0
2010-05-05,CSCO,26.31,26.82,26.15,26.55,49853230.0,152015635800.0
2010-05-06,CSCO,26.4,26.65,23.23,25.49,97875360.0,145935010368.0
2010-05-07,CSCO,25.52,25.64,24.33,24.71,95879530.0,141480465560.0
2010-05-10,CSCO,26.12,26.53,25.9,26.13,74886490.0,149610868680.0
