date,symbol,open,high,low,close,volume,mktcap
2010-01-04,CVX,78.2,79.2,78.16,79.06,10173710.0,158615548080.0
2010-01-05,CVX,79.22,79.62,78.72,79.62,10128010.0,159739058160.0
2010-01-06,CVX,79.44,80.0,79.19,79.63,11014550.0,159759120840.0
2010-01-07,CVX,79.36,79.7,78.97,79.33,9627330.0,159157240440.0
2010-01-08,CVX,79.12,79.47,78.89,79.47,5624180.0,159438117960.0
2010-01-11,CVX,80.17,81.09,80.06,80.88,11879870.0,162266955840.0
2010-01-12,CVX,79.52,80.45,79.47,80.41,12174510.0,161324009880.0
2010-01-13,CVX,80.27,80.41,79.09,79.8,10837900.0,160100186400.0
2010-01-14,CVX,79.63,79.8,79.15,79.55,6720987.0,159598619400.0
2010-01-15,CVX,79.54,79.69,78.28,79.23,13481670.0,158956613640.0
2010-01-19,CVX,78.96,79.75,78.57,79.68,8714149.0,159859434240.0
2010-01-20,CVX,78.71,78.93,77.65,78.15,8679022.0,156789844200.0
2010-01-21,CVX,78.15,78.18,76.06,76.24,12545790.0,152957872320.0
2010-01-22,CVX,75.98,76.59,74.43,74.59,13806060.0,149647530120.0
2010-01-25,CVX,75.15,75.27,74.09,74.55,9129622.0,149567279400.0
2010-01-26,CVX,74.08,74.88,73.7,74.15,10549620.0,148764772200.0
2010-01-27,CVX,73.94,74.36,73.13,73.7,13373040.0,147861951600.0
2010-01-28,CVX,73.97,74.18,72.32,73.24,12819250.0,146939068320.0
2010-01-29,CVX,73.53,74.07,71.75,72.12,15263540.0,144692048160.0
2010-02-01,CVX,72.7,73.74,72.14,73.58,11828010.0,147621199440.0
2010-02-02,CVX,73.74,74.58,73.0,74.45,12940690.0,149366652600.0
2010-02-03,CVX,74.18,74.36,73.05,73.21,14534920.0,146878880280.0
2010-02-04,CVX,72.56,72.83,71.06,71.37,15248260.0,143187347160.0
2010-02-05,CVX,71.0,71.24,69.55,71.18,17305390.0,142806156240.0
2010-02-08,CVX,71.24,71.45,70.13,70.13,11591620.0,140699574840.0
2010-02-09,CVX,70.89,72.03,70.82,71.31,13044720.0,143066971080.0
2010-02-10,CVX,71.02,71.23,70.0,70.75,11618490.0,141943461000.0
2010-02-11,CVX,70.72,72.11,70.31,71.73,11270220.0,143909603640.0
2010-02-12,CVX,70.54,71.3,70.17,71.01,13809010.0,142465090680.0
2010-02-16,CVX,71.99,73.32,71.93,72.99,14215940.0,146437501320.0
2010-02-17,CVX,73.22,73.43,72.46,72.84,8724225.0,146136561120.0
2010-02-18,CVX,72.69,73.72,72.34,73.62,9841318.0,147701450160.0
2010-02-19,CVX,73.44,74.38,73.21,74.05,13113120.0,148564145400.0
2010-02-22,CVX,74.17,74.22,72.79,72.96,8683044.0,146377313280.0
2010-02-23,CVX,72.6,72.93,71.77,72.04,11904620.0,144531546720.0
2010-02-24,CVX,72.12,72.45,71.61,72.34,8920733.0,145133427120.0
2010-02-25,CVX,71.19,72.19,70.78,72.11,11756840.0,144671985480.0
2010-02-26,CVX,72.19,72.69,71.82,72.3,8974369.0,145203921900.0
2010-03-01,CVX,72.63,73.18,72.39,72.81,7423036.0,146228181930.0
2010-03-02,CVX,73.18,73.91,73.01,73.32,9256703.0,147252441960.0
2010-03-03,CVX,73.63,73.85,73.06,73.13,8190797.0,146870854890.0
2010-03-04,CVX,73.07,73.5,72.71,73.08,9419712.0,146770437240.0
2010-03-05,CVX,73.55,74.47,73.51,74.3,8749781.0,149220627900.0
2010-03-08,CVX,74.49,74.88,74.15,74.64,6473082.0,149903467920.0
2010-03-09,CVX,74.3,74.91,74.0,74.3,8473604.0,149220627900.0
2010-03-10,CVX,74.14,74.33,73.25,73.96,14652810.0,148537787880.0
2010-03-11,CVX,74.07,74.09,73.55,73.99,7026217.0,148598038470.0
2010-03-12,CVX,74.17,74.24,73.51,73.72,7678594.0,148055783160.0
2010-03-15,CVX,73.51,73.63,72.85,73.57,8807582.0,147754530210.0
2010-03-16,CVX,73.9,74.12,73.41,73.98,9828290.0,148577954940.0
2010-03-17,CVX,74.18,75.06,74.16,74.67,10291940.0,149963718510.0
2010-03-18,CVX,74.85,75.07,74.24,74.76,9916095.0,150144470280.0
2010-03-19,CVX,75.03,75.16,73.89,74.98,16609170.0,150586307940.0
2010-03-22,CVX,74.17,74.88,74.0,74.46,9317050.0,149541964380.0
2010-03-23,CVX,74.43,74.79,74.03,74.77,8006608.0,150164553810.0
