date,symbol,open,high,low,close,volume,mktcap
2019-04-02,DOW,55.12,57.39,54.3,56.25,17179050.0,42118368750.0
2019-04-03,DOW,57.08,57.2,55.51,56.88,14866170.0,42590094480.0
2019-04-04,DOW,57.2,60.52,57.1,59.71,13308880.0,44709116410.0
2019-04-05,DOW,58.39,58.98,56.27,57.24,17000260.0,42859652040.0
2019-04-08,DOW,56.5,58.39,56.27,57.15,10764570.0,42792262650.0
2019-04-09,DOW,56.8,57.2,56.08,56.27,9179130.0,42133344170.0
2019-04-10,DOW,55.99,56.41,55.1,55.71,9080930.0,41714032410.0
2019-04-11,DOW,55.7,56.21,54.83,54.89,7344988.0,41100040190.0
2019-04-12,DOW,55.93,58.33,55.93,58.3,9239827.0,43653349300.0
2019-04-15,DOW,58.57,58.85,57.29,57.78,5726715.0,43263988380.0
2019-04-16,DOW,58.71,58.99,57.84,58.5,6679096.0,43803103500.0
2019-04-17,DOW,58.95,59.05,58.2,58.32,6419528.0,43668324720.0
2019-04-18,DOW,58.36,58.61,57.55,57.77,5178805.0,43256500670.0
2019-04-22,DOW,57.48,58.41,57.26,57.89,4401749.0,43346353190.0
2019-04-23,DOW,57.29,57.84,57.0,57.64,5687183.0,43159160440.0
2019-04-24,DOW,57.49,57.89,55.86,55.98,5424749.0,41916200580.0
2019-04-25,DOW,55.76,55.98,54.82,55.33,6259077.0,41429499430.0
2019-04-26,DOW,55.3,55.6,54.95,55.25,4009795.0,41369597750.0
2019-04-29,DOW,55.05,55.68,54.8,55.5,5903389.0,41556790500.0
2019-04-30,DOW,55.76,57.2,55.6,56.73,6452765.0,42477778830.0
2019-05-01,DOW,56.82,57.48,55.88,56.13,7644248.0,42028516230.0
2019-05-02,DOW,55.54,56.49,52.03,52.7,13929710.0,39460231700.0
2019-05-03,DOW,53.2,53.35,51.72,53.3,7401726.0,39909494300.0
2019-05-06,DOW,52.15,54.03,51.7,53.46,6089499.0,40032131040.0
2019-05-07,DOW,52.86,53.32,52.65,52.95,7326931.0,39650230800.0
