date,symbol,open,high,low,close,volume,mktcap
2010-01-04,GS,170.05,174.25,169.51,173.08,9113237.0,88977312560.0
2010-01-05,GS,173.0,176.26,172.57,176.14,11645000.0,90550403480.0
2010-01-06,GS,175.38,175.38,173.76,174.26,7371433.0,89583929320.0
2010-01-07,GS,174.32,178.75,173.95,177.67,8716527.0,91336948940.0
2010-01-08,GS,176.33,177.43,173.95,174.31,7258468.0,89609633420.0
2010-01-11,GS,175.06,175.06,170.52,171.56,7689513.0,88195907920.0
2010-01-12,GS,170.01,170.48,167.03,167.82,10341780.0,86273241240.0
2010-01-13,GS,168.01,169.67,166.12,169.07,11256520.0,86915843740.0
2010-01-14,GS,168.0,170.72,167.21,168.53,10516310.0,86638239460.0
2010-01-15,GS,167.6,167.8,164.58,165.21,10895940.0,84931487220.0
2010-01-19,GS,165.01,167.4,163.9,166.86,7671486.0,85779722520.0
2010-01-20,GS,165.8,168.18,164.32,167.79,8873141.0,86257818780.0
2010-01-21,GS,169.29,171.0,156.77,160.87,51696440.0,82700371340.0
2010-01-22,GS,158.69,159.75,152.25,154.12,30143220.0,79230317840.0
2010-01-25,GS,156.13,158.3,154.5,154.98,17861210.0,79672428360.0
2010-01-26,GS,154.91,156.5,150.7,150.88,15974080.0,77564692160.0
2010-01-27,GS,150.75,152.93,148.27,151.5,19891940.0,77883423000.0
2010-01-28,GS,154.23,155.2,149.95,153.29,16146940.0,78803629780.0
2010-01-29,GS,154.44,154.88,147.81,148.72,18480300.0,76454275040.0
2010-02-01,GS,149.82,155.25,149.21,153.13,12938040.0,78721376660.0
2010-02-02,GS,153.65,157.5,153.65,156.94,17212700.0,80680029080.0
2010-02-03,GS,157.92,159.94,157.11,157.23,16783060.0,80829112860.0
2010-02-04,GS,155.27,156.06,150.45,150.68,18866890.0,77461875760.0
2010-02-05,GS,150.82,154.46,148.87,154.16,18738840.0,79250881120.0
2010-02-08,GS,154.27,154.6,150.82,151.1,10246610.0,77677790200.0
2010-02-09,GS,152.7,153.53,149.65,152.49,14017220.0,78392364180.0
2010-02-10,GS,152.77,155.35,151.76,153.63,10553380.0,78978417660.0
2010-02-11,GS,154.4,155.32,152.25,154.05,11154640.0,79194332100.0
2010-02-12,GS,152.37,154.5,151.14,153.93,10287960.0,79132642260.0
2010-02-16,GS,155.3,157.74,154.6,157.4,11475850.0,80916506800.0
2010-02-17,GS,158.0,158.19,155.81,157.26,10059990.0,80844535320.0
2010-02-18,GS,155.61,156.59,154.88,155.73,10977630.0,80057989860.0
2010-02-19,GS,154.51,157.0,154.49,156.18,8692782.0,80289326760.0
2010-02-22,GS,157.2,157.97,156.03,156.71,7372208.0,80561790220.0
2010-02-23,GS,156.81,160.21,155.91,156.7,15695420.0,80556649400.0
2010-02-24,GS,157.34,159.25,156.87,158.33,8354468.0,81394603060.0
2010-02-25,GS,156.23,156.44,154.32,156.44,10508220.0,80422988080.0
2010-02-26,GS,156.26,156.99,155.26,156.35,7803954.0,80376720700.0
2010-03-01,GS,156.51,158.29,156.17,156.54,6501577.0,82379331540.0
2010-03-02,GS,157.18,159.75,156.91,158.75,11927570.0,83542346250.0
2010-03-03,GS,159.04,159.45,157.23,157.72,9988603.0,83000307720.0
2010-03-04,GS,158.25,163.85,158.11,163.61,15415580.0,86099926110.0
