date,symbol,open,high,low,close,volume,mktcap
2010-01-04,HD,29.15,29.15,28.55,28.67,13112180.0,48750812040.0
2010-01-05,HD,28.73,28.99,28.29,28.88,15594260.0,49107898560.0
2010-01-06,HD,28.88,29.0,28.7,28.78,8833171.0,48937857360.0
2010-01-07,HD,28.86,29.22,28.73,29.12,12045630.0,49515997440.0
2010-01-08,HD,29.0,29.24,28.69,28.98,15607740.0,49277939760.0
2010-01-11,HD,29.0,29.02,28.08,28.16,23648710.0,47883601920.0
2010-01-12,HD,28.15,28.35,27.89,27.98,23075440.0,47577527760.0
2010-01-13,HD,28.0,28.25,28.0,28.13,15639100.0,47832589560.0
2010-01-14,HD,28.12,28.44,28.12,28.3,13208060.0,48121659600.0
2010-01-15,HD,28.31,28.69,28.0,28.57,23013430.0,48580770840.0
2010-01-19,HD,28.46,28.95,28.35,28.88,13991730.0,49107898560.0
2010-01-20,HD,28.7,28.84,28.35,28.66,13220500.0,48733807920.0
2010-01-21,HD,28.63,29.06,28.32,28.48,18883860.0,48427733760.0
2010-01-22,HD,28.24,28.55,27.68,27.72,16618870.0,47135420640.0
2010-01-25,HD,27.95,27.95,27.51,27.62,11098350.0,46965379440.0
2010-01-26,HD,27.5,27.95,27.5,27.73,13255610.0,47152424760.0
2010-01-27,HD,27.62,27.92,27.49,27.84,12821740.0,47339470080.0
2010-01-28,HD,27.93,27.95,27.19,27.34,19408210.0,46489264080.0
2010-01-29,HD,27.57,28.09,27.38,28.01,22381520.0,47628540120.0
2010-02-01,HD,28.01,28.45,27.91,28.39,17113470.0,48274696680.0
2010-02-02,HD,28.39,29.05,28.3,29.03,19526700.0,49362960360.0
2010-02-03,HD,28.94,28.94,28.26,28.47,19321280.0,48410729640.0
2010-02-04,HD,28.24,28.53,27.84,27.93,19741590.0,47492507160.0
2010-02-05,HD,27.85,28.07,27.53,27.98,20218520.0,47577527760.0
2010-02-08,HD,28.53,28.94,28.47,28.59,25957930.0,48614779080.0
2010-02-09,HD,28.87,29.08,28.57,28.87,18057650.0,49090894440.0
2010-02-10,HD,28.84,28.96,28.4,28.65,14480440.0,48716803800.0
2010-02-11,HD,28.71,29.07,28.54,28.99,14585110.0,49294943880.0
2010-02-12,HD,28.75,29.0,28.55,29.0,15027510.0,49311948000.0
2010-02-16,HD,29.12,29.5,28.93,29.44,13267490.0,50060129280.0
2010-02-17,HD,29.76,30.06,29.75,30.02,21425110.0,51046368240.0
2010-02-18,HD,30.02,30.38,29.87,30.3,16483220.0,51522483600.0
2010-02-19,HD,30.21,30.45,30.0,30.15,18575420.0,51267421800.0
2010-02-22,HD,30.4,30.55,30.2,30.32,15986340.0,51556491840.0
2010-02-23,HD,30.56,31.03,30.35,30.75,35641700.0,52287669000.0
2010-02-24,HD,30.78,31.42,30.74,31.36,22790860.0,53324920320.0
2010-02-25,HD,31.07,31.45,30.99,31.36,15036510.0,53324920320.0
