date,symbol,open,high,low,close,volume,mktcap
2010-01-04,INTC,20.79,21.03,20.73,20.88,47690080.0,115299360000.0
2010-01-05,INTC,20.94,20.99,20.6,20.87,52173810.0,115244140000.0
2010-01-06,INTC,20.81,20.93,20.67,20.8,40020170.0,114857600000.0
2010-01-07,INTC,20.73,20.76,20.34,20.6,53999600.0,113753200000.0
2010-01-08,INTC,20.54,20.89,20.4,20.83,48126250.0,115023260000.0
2010-01-11,INTC,21.11,21.15,20.82,20.95,51037860.0,115685900000.0
2010-01-12,INTC,20.87,20.9,20.38,20.61,69909120.0,113797376000.0
2010-01-13,INTC,20.72,21.08,20.44,20.96,71319720.0,115741120000.0
2010-01-14,INTC,21.11,21.55,21.05,21.48,148109100.0,118612560000.0
2010-01-15,INTC,21.39,21.4,20.77,20.8,197925600.0,114857600000.0
2010-01-19,INTC,20.9,21.17,20.85,21.05,82206390.0,116238100000.0
2010-01-20,INTC,20.99,21.14,20.85,21.08,65605440.0,116403760000.0
2010-01-21,INTC,21.15,21.31,20.68,20.84,73473560.0,115078480000.0
2010-01-22,INTC,20.77,20.79,19.81,19.91,116228000.0,109943020000.0
2010-01-25,INTC,20.24,20.58,20.14,20.32,71187560.0,112207040000.0
2010-01-26,INTC,20.18,20.38,19.95,20.0,65248690.0,110440000000.0
2010-01-27,INTC,20.0,20.33,19.82,20.24,74901960.0,111765280000.0
2010-01-28,INTC,20.3,20.39,19.68,19.92,76908250.0,109998240000.0
2010-01-29,INTC,20.13,20.23,19.3,19.4,95685830.0,107126800000.0
2010-02-01,INTC,19.47,19.75,19.44,19.61,50151930.0,108286420000.0
2010-02-02,INTC,19.68,20.04,19.56,19.91,61904180.0,109943020000.0
2010-02-03,INTC,19.78,19.88,19.47,19.68,45492730.0,108672960000.0
2010-02-04,INTC,19.57,19.58,18.95,19.02,90852190.0,105028440000.0
2010-02-05,INTC,19.1,19.58,19.0,19.47,88686400.0,107513340000.0
2010-02-08,INTC,19.48,19.79,19.3,19.35,62496200.0,106850700000.0
2010-02-09,INTC,19.64,19.89,19.44,19.65,69182060.0,108507300000.0
2010-02-10,INTC,19.59,19.87,19.45,19.69,56226590.0,108728180000.0
2010-02-11,INTC,19.63,20.2,19.55,20.06,58802670.0,110771320000.0
2010-02-12,INTC,19.96,20.68,19.78,20.43,88558430.0,112814460000.0
2010-02-16,INTC,20.62,20.85,20.55,20.72,68771900.0,114415840000.0
2010-02-17,INTC,20.86,20.86,20.53,20.66,47008110.0,114084520000.0
2010-02-18,INTC,20.64,20.85,20.54,20.84,42526220.0,115078480000.0
2010-02-19,INTC,20.72,20.97,20.58,20.82,40756850.0,114968040000.0
2010-02-22,INTC,20.95,20.96,20.65,20.87,38716100.0,115244140000.0
2010-02-23,INTC,20.84,20.95,20.29,20.39,62210670.0,112623312000.0
2010-02-24,INTC,20.52,20.81,20.5,20.7,51054250.0,114346800000.0
2010-02-25,INTC,20.37,20.66,20.22,20.63,48508110.0,113960120000.0
