date,symbol,open,high,low,close,volume,mktcap
2010-01-04,JNJ,64.71,64.99,64.41,64.68,9483335.0,178458588000.0
2010-01-05,JNJ,64.58,64.62,63.82,63.93,10615500.0,176389263000.0
2010-01-06,JNJ,63.9,64.54,63.83,64.45,13140400.0,177823995000.0
2010-01-07,JNJ,64.25,64.35,63.74,63.99,10866910.0,176554809000.0
2010-01-08,JNJ,63.92,64.26,63.63,64.21,7876159.0,177161811000.0
2010-01-11,JNJ,64.75,64.75,64.01,64.22,7975603.0,177189402000.0
2010-01-12,JNJ,64.13,64.72,64.02,64.56,10793820.0,178127496000.0
2010-01-13,JNJ,64.54,65.23,64.54,64.97,12989730.0,179258727000.0
2010-01-14,JNJ,65.2,65.26,64.75,65.1,7851698.0,179617410000.0
2010-01-15,JNJ,65.14,65.2,63.98,64.56,20994630.0,178127496000.0
2010-01-19,JNJ,64.14,65.75,64.11,65.35,15175640.0,180307185000.0
2010-01-20,JNJ,65.47,65.95,64.47,65.15,13025310.0,179755365000.0
2010-01-21,JNJ,65.07,65.47,63.8,63.97,14419430.0,176499627000.0
2010-01-22,JNJ,63.91,64.19,63.09,63.2,13992970.0,174375120000.0
2010-01-25,JNJ,63.67,63.7,63.05,63.22,10001650.0,174430302000.0
2010-01-26,JNJ,62.64,63.01,62.22,62.79,15607530.0,173243889000.0
2010-01-27,JNJ,62.78,63.72,62.7,63.44,14972100.0,175037304000.0
2010-01-28,JNJ,63.57,64.07,63.04,63.8,17081980.0,176030580000.0
2010-01-29,JNJ,63.95,64.27,62.82,62.86,17806430.0,173437026000.0
2010-02-01,JNJ,63.26,63.26,62.77,63.09,10126280.0,174071619000.0
2010-02-02,JNJ,63.2,64.19,62.63,63.99,13570290.0,176554809000.0
2010-02-03,JNJ,63.87,63.87,63.29,63.63,9242548.0,175561533000.0
2010-02-04,JNJ,63.49,63.62,62.62,62.64,18365050.0,172830024000.0
2010-02-05,JNJ,62.69,63.6,61.89,62.64,16764240.0,172830024000.0
2010-02-08,JNJ,62.5,62.98,62.26,62.37,10065490.0,172085067000.0
2010-02-09,JNJ,62.55,63.47,62.47,62.76,11342310.0,173161116000.0
2010-02-10,JNJ,62.79,63.07,62.21,62.73,10115780.0,173078343000.0
2010-02-11,JNJ,62.62,63.21,62.26,62.91,8353333.0,173574981000.0
2010-02-12,JNJ,62.61,63.0,62.11,62.72,12313460.0,173050752000.0
2010-02-16,JNJ,63.25,63.71,62.82,63.61,10197890.0,175506351000.0
2010-02-17,JNJ,63.63,64.36,63.61,63.98,9414322.0,176527218000.0
2010-02-18,JNJ,63.98,64.7,63.95,64.53,8241088.0,178044723000.0
2010-02-19,JNJ,64.15,64.46,63.62,63.81,14222230.0,176058171000.0
2010-02-22,JNJ,63.81,64.1,63.39,63.49,9825890.0,175175259000.0
2010-02-23,JNJ,63.56,63.85,63.23,63.31,12474220.0,174678621000.0
2010-02-24,JNJ,63.55,63.85,63.25,63.45,8515332.0,175064895000.0
2010-02-25,JNJ,62.79,63.35,62.52,63.28,10523510.0,174595848000.0
2010-02-26,JNJ,63.46,63.59,63.0,63.0,9339074.0,173823300000.0
2010-03-01,JNJ,63.27,63.46,63.17,63.39,9207193.0,174899349000.0
2010-03-02,JNJ,63.31,63.64,63.02,63.44,9013921.0,174582248880.0
2010-03-03,JNJ,63.59,63.75,63.22,63.4,9339154.0,174472171800.0
2010-03-04,JNJ,63.53,63.7,63.37,63.57,8056979.0,174939999390.0
2010-03-05,JNJ,63.66,64.07,63.55,64.04,10612630.0,176233405080.0
2010-03-08,JNJ,64.08,64.41,64.02,64.2,33367610.0,176673713400.0
2010-03-09,JNJ,64.55,64.55,64.09,64.27,8826437.0,176866348290.0
2010-03-10,JNJ,64.49,64.56,64.15,64.29,8432757.0,176921386830.0
2010-03-11,JNJ,64.15,64.22,63.6,64.22,9958004.0,176728751940.0
2010-03-12,JNJ,64.26,64.26,63.85,64.18,8216596.0,176618674860.0
2010-03-15,JNJ,64.14,64.57,64.07,64.57,7423457.0,177691926390.0
2010-03-16,JNJ,64.7,64.72,64.23,64.53,8881969.0,177581849310.0
2010-03-17,JNJ,64.72,64.74,64.48,64.65,8052237.0,177912080550.0
2010-03-18,JNJ,64.58,65.15,64.37,65.06,11723700.0,179322340660.0
2010-03-19,JNJ,65.25,65.49,64.81,65.11,23112510.0,179460153710.0
2010-03-22,JNJ,65.07,65.44,64.98,65.1,8798747.0,179432591100.0
2010-03-23,JNJ,65.18,65.39,64.87,65.36,9441831.0,180149218960.0
2010-03-24,JNJ,65.31,65.31,64.75,64.75,9312469.0,178467899750.0
2010-03-25,JNJ,65.04,65.25,64.53,64.57,10486840.0,177971772770.0
2010-03-26,JNJ,64.68,64.72,64.33,64.38,9436776.0,177448083180.0
2010-03-29,JNJ,64.46,64.94,64.4,64.82,7601779.0,178660838020.0
2010-03-30,JNJ,64.95,64.98,64.56,64.9,8311541.0,178881338900.0
2010-03-31,JNJ,64.84,65.31,64.7,65.2,11850860.0,179708217200.0
2010-04-01,JNJ,65.37,65.77,65.24,65.77,10545460.0,181279285970.0
2010-04-05,JNJ,65.77,65.89,65.38,65.4,8592792.0,180259469400.0
2010-04-06,JNJ,65.13,65.44,65.0,65.31,8215055.0,180011405910.0
2010-04-07,JNJ,65.24,65.49,65.08,65.22,9394811.0,179763342420.0
2010-04-08,JNJ,65.19,65.19,64.77,64.93,8941424.0,178964026730.0
2010-04-09,JNJ,64.88,65.17,64.78,65.14,6960933.0,179542841540.0
2010-04-12,JNJ,65.11,65.21,64.93,65.11,8692124.0,179460153710.0
2010-04-13,JNJ,65.06,65.85,64.91,65.68,12440450.0,181031222480.0
2010-04-14,JNJ,65.43,65.6,65.18,65.49,10336850.0,180507532890.0
2010-04-15,JNJ,65.29,65.54,65.13,65.51,8653590.0,180562658110.0
2010-04-16,JNJ,65.34,65.65,64.89,65.02,15708010.0,179212090220.0
2010-04-19,JNJ,65.06,66.1,65.06,66.03,14582600.0,181995913830.0
2010-04-20,JNJ,66.03,66.2,65.73,65.99,11829240.0,181885663390.0
2010-04-21,JNJ,65.98,65.98,65.07,65.39,13229300.0,180231906790.0
2010-04-22,JNJ,65.18,65.24,64.33,64.78,19510760.0,178550587580.0
2010-04-23,JNJ,64.71,65.04,64.33,65.04,11616780.0,179267215440.0
2010-04-26,JNJ,64.99,65.2,64.72,64.76,9223246.0,178495462360.0
2010-04-27,JNJ,64.57,64.88,64.21,64.28,11818220.0,177172457080.0
2010-04-28,JNJ,64.43,64.86,64.25,64.62,12443010.0,178109585820.0
2010-04-29,JNJ,64.85,65.34,64.85,65.01,7930052.0,179184527610.0
2010-04-30,JNJ,65.13,65.34,64.3,64.3,14183820.0,177227582300.0
2010-05-03,JNJ,65.16,65.62,64.54,65.33,15148690.0,180066531130.0
2010-05-04,JNJ,65.07,65.28,64.41,64.7,14844960.0,178330086700.0
2010-05-05,JNJ,64.58,65.29,64.44,65.14,13143650.0,179542841540.0
2010-05-06,JNJ,65.04,65.1,60.03,63.4,24294640.0,174746947400.0
2010-05-07,JNJ,63.26,63.6,62.09,63.31,20466920.0,174498883910.0
2010-05-10,JNJ,64.91,65.36,64.0,64.75,18333710.0,178467899750.0
2010-05-11,JNJ,64.23,65.09,64.18,64.67,10864430.0,178364386900.0
2010-05-12,JNJ,64.85,65.05,64.49,64.9,11024070.0,178998743000.0
2010-05-13,JNJ,64.84,65.16,64.51,64.67,12310150.0,178364386900.0
2010-05-14,JNJ,64.71,64.79,63.41,63.97,12430410.0,176433737900.0
2010-05-17,JNJ,64.06,64.24,63.2,63.88,10250160.0,176185511600.0
2010-05-18,JNJ,63.44,63.56,62.85,62.97,18393600.0,173675667900.0
2010-05-19,JNJ,62.69,62.96,62.05,62.22,18770050.0,171607115400.0
