date,symbol,open,high,low,close,volume,mktcap
2010-01-04,MMM,83.09,83.45,82.67,83.02,3043663.0,58774673160.0
2010-01-05,MMM,82.8,83.23,81.7,82.5,2845347.0,58406535000.0
2010-01-06,MMM,83.88,84.6,83.51,83.67,5268268.0,59234845860.0
2010-01-07,MMM,83.32,83.76,82.12,83.73,4470428.0,59277323340.0
2010-01-08,MMM,83.69,84.32,83.3,84.32,3404793.0,59695018560.0
2010-01-11,MMM,84.38,84.6,83.41,83.98,2926938.0,59454312840.0
2010-01-12,MMM,83.58,84.18,83.3,84.05,3031713.0,59503869900.0
2010-01-13,MMM,84.11,84.11,83.2,83.78,3101795.0,59312721240.0
2010-01-14,MMM,83.74,83.93,83.42,83.5,2634101.0,59114493000.0
2010-01-15,MMM,83.52,84.09,82.87,83.37,3954951.0,59022458460.0
2010-01-19,MMM,83.82,85.17,83.5,85.12,4499508.0,60261384960.0
2010-01-20,MMM,84.83,85.13,83.59,84.72,3671177.0,59978201760.0
2010-01-21,MMM,84.6,84.6,82.57,82.7,4783159.0,58548126600.0
2010-01-22,MMM,82.4,82.83,81.3,81.48,4808976.0,57684417840.0
2010-01-25,MMM,82.33,82.89,81.48,81.83,3386524.0,57932203140.0
2010-01-26,MMM,81.46,82.73,81.04,81.63,3137981.0,57790611540.0
2010-01-27,MMM,81.33,82.84,81.01,82.3,5066850.0,58264943400.0
2010-01-28,MMM,82.62,82.64,79.11,80.75,6820400.0,57167608500.0
2010-01-29,MMM,81.35,81.88,80.18,80.49,4347074.0,57196113510.0
2010-02-01,MMM,80.84,80.89,79.94,80.44,3632103.0,57160583560.0
2010-02-02,MMM,80.7,80.94,79.69,80.43,4689975.0,57153477570.0
2010-02-03,MMM,79.83,81.68,79.83,81.5,3401220.0,57913818500.0
2010-02-04,MMM,81.13,81.13,78.83,79.21,5312556.0,56286546790.0
2010-02-05,MMM,79.16,79.5,77.26,78.54,5407974.0,55810445460.0
2010-02-08,MMM,78.48,78.48,77.25,77.53,4407293.0,55092740470.0
2010-02-09,MMM,78.28,79.41,77.9,78.72,4252408.0,55938353280.0
2010-02-10,MMM,78.8,79.29,78.0,78.62,2445186.0,55867293380.0
2010-02-11,MMM,79.22,80.39,78.84,80.27,5523867.0,57039781730.0
2010-02-12,MMM,79.14,79.23,78.07,79.18,5442996.0,56265228820.0
2010-02-16,MMM,80.08,80.64,79.34,80.47,3619048.0,57181901530.0
2010-02-17,MMM,80.42,80.69,79.74,80.14,3093837.0,57038282620.0
2010-02-18,MMM,80.06,81.18,80.06,81.11,2700746.0,57728663630.0
2010-02-19,MMM,81.14,81.74,80.61,81.52,3217867.0,58020474160.0
2010-02-22,MMM,81.71,81.76,80.55,80.68,3025376.0,57422618440.0
2010-02-23,MMM,80.41,81.09,79.67,79.71,3983151.0,56732237430.0
2010-02-24,MMM,80.0,80.6,79.5,80.07,3530652.0,56988461310.0
2010-02-25,MMM,79.16,79.77,78.64,79.74,4106273.0,56753589420.0
2010-02-26,MMM,79.74,80.33,79.1,80.15,3224373.0,57045399950.0
2010-03-01,MMM,80.57,80.95,80.35,80.58,2545032.0,57351445140.0
2010-03-02,MMM,80.74,81.38,80.58,81.13,3365547.0,57742898290.0
2010-03-03,MMM,81.16,81.68,80.86,81.0,2851617.0,57650373000.0
2010-03-04,MMM,81.21,81.36,80.57,81.02,2620209.0,57664607660.0
2010-03-05,MMM,81.34,82.5,81.23,82.44,3142556.0,58675268520.0
2010-03-08,MMM,82.42,82.53,81.23,81.31,3627851.0,57871010230.0
2010-03-09,MMM,81.15,82.13,80.74,81.99,4249733.0,58354988670.0
2010-03-10,MMM,81.92,82.06,81.25,81.56,3584553.0,58048943480.0
2010-03-11,MMM,81.26,81.54,80.51,81.26,4051072.0,57835423580.0
2010-03-12,MMM,81.57,81.67,80.92,81.38,2945813.0,57920831540.0
2010-03-15,MMM,81.16,81.66,80.78,81.26,2622241.0,57835423580.0
2010-03-16,MMM,81.26,81.66,80.53,81.66,4242139.0,58120116780.0
2010-03-17,MMM,81.93,82.41,81.65,82.18,3989680.0,58490217940.0
2010-03-18,MMM,82.3,83.75,82.0,83.67,4939477.0,59550700110.0
2010-03-19,MMM,83.8,84.0,81.51,81.96,6870893.0,58333636680.0
2010-03-22,MMM,81.5,82.2,81.5,81.84,3256630.0,58248228720.0
2010-03-23,MMM,82.1,82.41,81.16,82.35,4153039.0,58611212550.0
2010-03-24,MMM,81.86,82.3,81.43,81.61,3102478.0,58084530130.0
2010-03-25,MMM,82.01,82.25,80.84,80.93,4942499.0,57616009320.0
2010-03-26,MMM,81.1,81.36,80.75,81.0,3815048.0,57665844000.0
2010-03-29,MMM,81.24,81.69,81.03,81.36,3102592.0,57922136640.0
2010-03-30,MMM,82.36,84.5,82.24,84.28,8704528.0,60000954720.0
2010-03-31,MMM,84.05,84.46,83.35,83.57,4336635.0,59495488680.0
2010-04-01,MMM,83.87,84.23,83.4,83.85,2965767.0,59694827400.0
2010-04-05,MMM,84.22,84.48,83.58,84.19,2600732.0,59936881560.0
2010-04-06,MMM,83.9,84.47,83.55,84.35,3208275.0,60050789400.0
2010-04-07,MMM,84.11,84.63,83.2,83.66,4463429.0,59559561840.0
2010-04-08,MMM,83.41,83.6,82.77,82.95,3715825.0,59054095800.0
2010-04-09,MMM,82.97,83.67,82.79,83.49,2883869.0,59438534760.0
2010-04-12,MMM,83.76,83.76,83.09,83.28,2626066.0,59289030720.0
2010-04-13,MMM,83.04,84.24,82.69,83.94,4255906.0,59758900560.0
2010-04-14,MMM,83.91,84.47,83.48,84.39,3632099.0,60079266360.0
2010-04-15,MMM,84.14,85.0,83.93,85.0,4535397.0,60513540000.0
2010-04-16,MMM,84.7,84.95,83.2,83.76,5343086.0,59630754240.0
2010-04-19,MMM,83.61,84.13,83.14,83.9,3552574.0,59730423600.0
2010-04-20,MMM,84.41,85.85,84.32,85.27,5734906.0,60705759480.0
2010-04-21,MMM,85.44,85.85,85.07,85.7,4506575.0,61011886800.0
2010-04-22,MMM,85.1,86.14,84.47,86.05,4627654.0,61261060200.0
2010-04-23,MMM,86.18,87.09,85.93,86.58,3990528.0,61638379920.0
2010-04-26,MMM,86.82,87.79,86.74,87.44,6288808.0,62250634560.0
2010-04-27,MMM,89.92,90.25,87.77,87.97,11138680.0,62627954280.0
2010-04-28,MMM,88.89,89.08,87.65,88.24,5730552.0,62921120320.0
2010-04-29,MMM,88.94,90.0,88.64,89.33,5284102.0,63698364440.0
2010-04-30,MMM,88.7,89.7,88.4,88.67,5261981.0,63227739560.0
2010-05-03,MMM,89.19,90.0,88.62,89.81,4647374.0,64040637080.0
2010-05-04,MMM,89.22,89.22,87.01,87.68,5456327.0,62521802240.0
2010-05-05,MMM,87.04,87.22,86.08,86.59,4879914.0,61744558120.0
2010-05-06,MMM,86.06,90.52,67.98,84.24,9156041.0,60068848320.0
2010-05-07,MMM,83.66,84.31,81.26,82.63,8368800.0,58920808840.0
2010-05-10,MMM,85.6,87.04,84.9,85.97,6271591.0,61302455960.0
2010-05-11,MMM,85.18,85.97,84.87,85.04,4760797.0,60639302720.0
2010-05-12,MMM,85.39,86.62,85.21,86.44,3430953.0,61637597920.0
2010-05-13,MMM,86.06,87.0,85.42,85.59,3314763.0,61031490120.0
2010-05-14,MMM,85.06,85.55,83.95,84.68,4138399.0,60382598240.0
2010-05-17,MMM,84.88,85.14,83.02,84.68,3191637.0,60382598240.0
2010-05-18,MMM,85.09,86.2,83.85,84.02,5220185.0,59911973360.0
2010-05-19,MMM,83.34,83.34,81.95,82.54,6405123.0,58856632720.0
2010-05-20,MMM,81.17,81.47,79.5,79.58,8747618.0,56745951440.0
2010-05-21,MMM,78.42,80.77,78.14,80.7,6489607.0,57544587600.0
2010-05-24,MMM,80.73,80.74,79.44,79.59,3625869.0,56753082120.0
2010-05-25,MMM,78.7,79.55,77.31,79.47,5705171.0,56667513960.0
2010-05-26,MMM,80.0,80.69,79.03,79.17,4715682.0,56453593560.0
2010-05-27,MMM,80.41,81.53,80.04,81.43,4535342.0,58065127240.0
2010-05-28,MMM,81.53,81.69,78.76,79.31,6482710.0,56553423080.0
2010-06-01,MMM,78.72,79.87,77.97,78.07,4308961.0,55669218760.0
2010-06-02,MMM,78.6,78.89,77.51,78.74,5767536.0,56146974320.0
2010-06-03,MMM,79.29,79.76,77.66,78.34,7876454.0,55861747120.0
2010-06-04,MMM,77.29,77.29,75.8,76.1,8113534.0,54264474800.0
2010-06-07,MMM,76.16,76.86,74.69,74.74,5935156.0,53294702320.0
2010-06-08,MMM,74.74,75.15,72.72,74.92,7229428.0,53423054560.0
2010-06-09,MMM,75.47,76.1,74.5,74.79,4802118.0,53330355720.0
2010-06-10,MMM,75.78,77.59,75.62,77.43,6160255.0,55212855240.0
2010-06-11,MMM,76.66,78.39,76.62,78.3,4627391.0,55833224400.0
2010-06-14,MMM,78.99,79.33,78.06,78.14,3604673.0,55719133520.0
2010-06-15,MMM,79.09,79.86,78.74,79.77,3233120.0,56881434360.0
2010-06-16,MMM,79.28,81.0,78.99,80.88,5330816.0,57672939840.0
2010-06-17,MMM,81.34,81.37,79.9,81.03,3976314.0,57779900040.0
2010-06-18,MMM,80.84,81.38,80.38,81.18,5255618.0,57886860240.0
2010-06-21,MMM,81.96,83.0,81.07,81.47,4063917.0,58093649960.0
2010-06-22,MMM,81.71,81.87,79.88,80.03,3103104.0,57066832040.0
2010-06-23,MMM,80.23,80.64,79.45,80.12,3566930.0,57131008160.0
2010-06-24,MMM,79.81,79.84,77.87,78.18,4319109.0,55747656240.0
2010-06-25,MMM,78.53,79.09,77.88,78.9,4317940.0,56261065200.0
2010-06-28,MMM,78.95,79.73,78.29,78.98,3083923.0,56318110640.0
2010-06-29,MMM,78.72,79.04,76.85,78.49,8539491.0,55968707320.0
2010-06-30,MMM,78.21,80.22,78.21,78.99,6942318.0,56325241320.0
2010-07-01,MMM,79.06,79.38,77.83,78.55,6804696.0,56011491400.0
2010-07-02,MMM,78.8,79.0,77.04,77.67,3765920.0,55383991560.0
2010-07-06,MMM,78.45,79.38,77.5,78.14,4005029.0,55719133520.0
2010-07-07,MMM,78.44,80.58,77.93,80.52,4927488.0,57416235360.0
2010-07-08,MMM,81.12,81.59,80.09,81.22,3968182.0,57915382960.0
2010-07-09,MMM,81.11,82.25,81.11,82.16,2814043.0,58585666880.0
2010-07-12,MMM,81.87,82.26,81.36,82.26,3206826.0,58656973680.0
2010-07-13,MMM,82.84,84.57,82.84,83.55,5107996.0,59576831400.0
2010-07-14,MMM,83.13,83.68,82.49,83.05,3093991.0,59220297400.0
2010-07-15,MMM,83.17,83.17,81.53,83.06,4641582.0,59227428080.0
2010-07-16,MMM,82.71,82.77,80.7,80.95,4295949.0,57722854600.0
2010-07-19,MMM,81.48,81.55,80.08,81.22,3036683.0,57915382960.0
2010-07-20,MMM,80.48,82.34,80.01,82.19,3046151.0,58607058920.0
2010-07-21,MMM,82.64,83.11,81.34,82.3,4971062.0,58685496400.0
2010-07-22,MMM,84.73,85.14,83.85,84.75,7144792.0,60432513000.0
2010-07-23,MMM,84.7,86.27,84.35,86.17,4559097.0,61450756780.0
2010-07-26,MMM,86.5,87.47,85.89,87.32,4834421.0,62270860880.0
2010-07-27,MMM,87.16,87.39,86.33,86.8,4243164.0,61900031200.0
2010-07-28,MMM,86.44,87.0,86.22,86.69,2823938.0,61821586460.0
2010-07-29,MMM,87.05,87.48,85.72,86.34,3344187.0,61571989560.0
2010-07-30,MMM,85.5,86.35,84.86,85.54,4744536.0,61001482360.0
2010-08-02,MMM,86.8,87.78,86.72,87.41,3605795.0,62335042940.0
2010-08-03,MMM,86.98,87.55,86.68,87.21,2855448.0,62192416140.0
2010-08-04,MMM,87.3,88.08,87.23,88.0,2222544.0,62755792000.0
2010-08-05,MMM,87.31,87.92,86.97,87.72,2523575.0,62556114480.0
