date,symbol,open,high,low,close,volume,mktcap
2010-01-04,TRV,50.15,50.44,49.66,49.81,3715991.0,27214839130.0
2010-01-05,TRV,49.63,49.69,48.52,48.63,5941860.0,26570118990.0
2010-01-06,TRV,48.26,48.39,47.35,47.94,10124460.0,26193121620.0
2010-01-07,TRV,47.82,48.85,47.82,48.63,4901856.0,26570118990.0
2010-01-08,TRV,48.65,48.76,48.07,48.56,3933079.0,26531872880.0
2010-01-11,TRV,48.7,48.84,48.1,48.54,3058441.0,26520945420.0
2010-01-12,TRV,48.99,49.39,48.6,48.85,5147283.0,26690321050.0
2010-01-13,TRV,48.93,49.33,48.83,49.02,3462346.0,26783204460.0
2010-01-14,TRV,48.93,49.4,48.73,49.28,2656210.0,26925261440.0
2010-01-15,TRV,49.11,49.46,48.26,48.79,4252217.0,26657538670.0
2010-01-19,TRV,48.75,49.6,48.43,49.43,3349383.0,27007217390.0
2010-01-20,TRV,49.26,49.7,48.55,48.93,3433308.0,26734030890.0
2010-01-21,TRV,48.79,49.08,48.03,48.95,5942700.0,26744958350.0
2010-01-22,TRV,48.81,49.64,48.2,48.31,6885256.0,26395279630.0
2010-01-25,TRV,48.83,49.11,47.95,48.89,4767631.0,26712175970.0
2010-01-26,TRV,50.55,51.13,50.15,50.23,8488923.0,27444315790.0
2010-01-27,TRV,50.29,50.91,50.03,50.9,4662345.0,26483270000.0
2010-01-28,TRV,51.07,51.07,49.98,50.27,4554724.0,26155481000.0
2010-01-29,TRV,50.3,50.99,50.09,50.67,4484775.0,26363601000.0
2010-02-01,TRV,50.95,50.95,50.22,50.69,4300983.0,26374007000.0
2010-02-02,TRV,50.6,51.18,50.26,51.09,5640113.0,26582127000.0
2010-02-03,TRV,50.46,50.95,50.28,50.57,3978746.0,26311571000.0
2010-02-04,TRV,50.27,50.74,49.69,49.73,6662457.0,25874519000.0
2010-02-05,TRV,49.61,50.5,49.24,50.28,6746318.0,26160684000.0
2010-02-08,TRV,50.18,50.29,49.01,49.05,5193501.0,25520715000.0
2010-02-09,TRV,49.54,49.75,48.88,49.57,5355306.0,25791271000.0
2010-02-10,TRV,49.64,49.91,49.25,49.69,4619385.0,25853707000.0
2010-02-11,TRV,49.61,50.27,49.26,50.2,4639251.0,26119060000.0
2010-02-12,TRV,49.77,50.49,49.28,50.45,5810313.0,26249135000.0
