date,symbol,open,high,low,close,volume,mktcap
2010-01-04,XOM,68.72,69.26,68.19,69.15,27809020.0,327210746700.0
2010-01-05,XOM,69.19,69.45,68.8,69.42,30173720.0,328488359160.0
2010-01-06,XOM,69.45,70.6,69.34,70.02,35044510.0,331327497960.0
2010-01-07,XOM,69.9,70.06,69.42,69.8,27170380.0,330286480400.0
2010-01-08,XOM,69.69,69.75,69.22,69.52,24888380.0,328961548960.0
2010-01-11,XOM,69.94,70.52,69.65,70.3,30671420.0,332652429400.0
2010-01-12,XOM,69.72,69.99,69.52,69.95,31491530.0,330996265100.0
2010-01-13,XOM,69.96,70.04,69.26,69.67,24884360.0,329671333660.0
2010-01-14,XOM,69.54,69.74,69.35,69.68,18630640.0,329718652640.0
2010-01-15,XOM,69.65,69.69,68.65,69.11,29315400.0,327021470780.0
2010-01-19,XOM,68.74,69.35,68.42,69.27,25904330.0,327778574460.0
2010-01-20,XOM,68.56,68.66,67.93,68.03,34628670.0,321911020940.0
2010-01-21,XOM,68.12,68.15,66.5,66.7,39113710.0,315617596600.0
2010-01-22,XOM,66.52,67.14,66.0,66.1,39066460.0,312778457800.0
2010-01-25,XOM,66.55,66.76,65.69,65.85,29287220.0,311595483300.0
2010-01-26,XOM,65.64,66.74,65.5,65.92,34082820.0,311926716160.0
2010-01-27,XOM,65.66,66.06,65.0,65.54,35722260.0,310128594920.0
2010-01-28,XOM,65.85,65.85,64.57,64.96,37331420.0,307384094080.0
2010-01-29,XOM,65.15,65.82,64.02,64.43,40844620.0,304876188140.0
2010-02-01,XOM,65.77,66.41,65.35,66.18,37661500.0,313157009640.0
2010-02-02,XOM,66.73,67.12,66.47,66.96,34057820.0,316847890080.0
2010-02-03,XOM,66.88,67.23,66.56,66.6,24023560.0,315144406800.0
2010-02-04,XOM,66.27,66.35,64.68,64.72,33856410.0,306248438560.0
2010-02-05,XOM,64.7,64.9,63.56,64.8,42295140.0,306626990400.0
2010-02-08,XOM,64.91,65.49,64.34,64.35,30480030.0,304497636300.0
2010-02-09,XOM,65.11,65.71,64.56,65.2,36242860.0,308519749600.0
2010-02-10,XOM,65.08,65.22,64.16,64.85,21697240.0,306863585300.0
2010-02-11,XOM,64.69,65.48,64.41,65.24,23553330.0,308709025520.0
2010-02-12,XOM,64.62,65.14,64.28,64.8,30636130.0,306626990400.0
2010-02-16,XOM,65.44,66.38,65.08,66.28,30506290.0,313630199440.0
2010-02-17,XOM,66.34,66.45,65.57,65.76,21802100.0,311169612480.0
2010-02-18,XOM,65.8,66.09,65.35,65.96,22534130.0,312115992080.0
2010-02-19,XOM,65.59,66.24,65.43,65.87,24264350.0,311690121260.0
2010-02-22,XOM,66.1,66.12,65.25,65.4,20454080.0,309466129200.0
2010-02-23,XOM,65.26,65.56,64.15,64.94,33372890.0,307289456120.0
2010-02-24,XOM,65.01,65.87,64.77,65.55,21469560.0,310175913900.0
2010-02-25,XOM,64.61,65.17,64.37,65.14,25668710.0,308235835720.0
2010-02-26,XOM,65.26,65.4,64.92,65.0,20108090.0,307573370000.0
2010-03-01,XOM,65.36,65.54,65.09,65.4,18775020.0,308771254200.0
2010-03-02,XOM,65.66,65.79,65.15,65.49,24823460.0,309196168770.0
2010-03-03,XOM,65.77,65.97,65.38,65.43,22269160.0,308912892390.0
2010-03-04,XOM,65.35,65.63,65.08,65.4,21959860.0,308771254200.0
2010-03-05,XOM,65.96,66.52,65.78,66.47,26837900.0,313823016310.0
2010-03-08,XOM,66.77,66.79,66.23,66.48,20294140.0,313870229040.0
2010-03-09,XOM,66.32,67.19,66.22,66.78,28986960.0,315286610940.0
2010-03-10,XOM,67.16,67.42,66.78,67.22,24805220.0,317363971060.0
2010-03-11,XOM,67.39,67.56,66.98,67.22,19365310.0,317363971060.0
2010-03-12,XOM,67.58,67.58,66.5,66.8,23357720.0,315381036400.0
2010-03-15,XOM,66.67,66.69,65.9,66.3,22069130.0,313020399900.0
2010-03-16,XOM,66.55,66.68,66.0,66.57,35100240.0,314295143610.0
2010-03-17,XOM,66.91,67.79,66.8,67.36,38765260.0,318024949280.0
2010-03-18,XOM,67.5,67.74,67.01,67.39,25925120.0,318166587470.0
2010-03-19,XOM,67.84,67.89,66.43,67.04,45559500.0,316514141920.0
2010-03-22,XOM,66.49,67.2,66.32,66.97,21377430.0,316183652810.0
2010-03-23,XOM,66.94,66.98,66.45,66.95,24741840.0,316089227350.0
2010-03-24,XOM,66.57,66.86,66.23,66.5,19748780.0,313964654500.0
2010-03-25,XOM,66.81,66.92,66.24,66.3,21095110.0,313020399900.0
2010-03-26,XOM,66.44,66.88,66.17,66.54,30553370.0,314153505420.0
2010-03-29,XOM,66.66,67.48,66.59,67.3,26121960.0,317741672900.0
2010-03-30,XOM,67.19,67.3,66.79,67.05,17741950.0,316561354650.0
2010-03-31,XOM,66.94,67.19,66.6,66.98,22352440.0,316230865540.0
2010-04-01,XOM,67.27,67.8,67.19,67.61,19614320.0,319205267530.0
