symbol,histdata_market,histdata_fund,recent_date,recent_price,recent_mktcap,recent_return_1d,recent_return_1w,recent_return_1m,recent_return_1y,pred_short,pred_medium,pred_long,pred_short_star,pred_medium_star,pred_long_star,profile_id
AAPL,histdata_market/AAPL.csv,histdata_fundamental/AAPL.csv,2019-09-27,218.82,988886967600.0,-0.004866069398335449,0.005006200339870537,0.0718064263322884,-0.007258869431086112,0.16808278949840116,0.7104580043487104,0.24975489201676926,-3,-1,-4,AAPL
AXP,histdata_market/AXP.csv,histdata_fundamental/AXP.csv,2019-09-27,118.59,98391039660.0,-0.002691110924228357,0.015325342465753566,0.0071337579617833935,0.09795389315804082,0.21909326325877676,0.9053655419081713,0.9938609945067328,-3,4,5,AXP
BA,histdata_market/BA.csv,histdata_fundamental/BA.csv,2019-09-27,382.86,215439150600.0,-0.010416397425624835,0.00914626110335015,0.07929974910495297,0.04884530038626966,0.05389157740559236,0.9016208563139689,0.97108515506314,-5,3,4,BA
CAT,histdata_market/CAT.csv,histdata_fundamental/CAT.csv,2019-09-27,126.59,71218141510.0,0.0015824036711764577,-0.012250312109862604,0.11651084847415771,-0.17353267611151002,0.46422269176747155,0.2630831649520152,0.46638295237102534,1,-4,-1,CAT
CSCO,histdata_market/CSCO.csv,histdata_fundamental/CSCO.csv,2019-09-27,48.84,207339963600.0,0.00020479213598201262,-0.015322580645161232,0.04381278050865589,0.008882462301177618,0.6465223004662644,0.8902985977047018,0.47945466493773037,1,3,1,CSCO
CVX,histdata_market/CVX.csv,histdata_fundamental/CVX.csv,2019-09-27,118.6,225152374800.0,-0.012982689747004006,-0.04601029601029605,0.023914357247690532,-0.0274702747027471,0.9804739615397015,0.08600889404000078,0.6393502186504224,5,-5,2,CVX
DIS,histdata_market/DIS.csv,histdata_fundamental/DIS.csv,2019-09-27,129.96,234107214840.0,-0.009979431705644859,-0.017464277613971402,-0.03368280169529336,0.12802708098255366,0.16649779691722888,0.212790868731198,0.9286052983778623,-4,-4,4,DIS
DOW,histdata_market/DOW.csv,histdata_fundamental/DOW.csv,2019-09-27,47.07,34982988840.0,-0.0033876773237347946,-0.023646546359676446,0.14330823415108074,,0.7985598031456449,0.828489863823362,0.17878650570197874,3,3,-4,DOW
GS,histdata_market/GS.csv,histdata_fundamental/GS.csv,2019-09-27,208.97,75138089080.0,0.0036019594659495446,-0.022316833536071945,0.055031049628919027,-0.08698881509961554,0.08073112810994032,0.7778346485512597,0.988441608193672,-4,2,5,GS
HD,histdata_market/HD.csv,histdata_fundamental/HD.csv,2019-09-27,229.86,251731868580.0,0.00030462596283564736,0.0231005474696222,0.05338893726227023,0.10765227447956827,0.4641665606562526,0.9080399540982753,0.5175231997818239,-1,4,1,HD
