date,symbol,open,high,low,close,volume,mktcap
2010-01-04,AAPL,30.49,30.64,30.34,30.57,17540960.0,27679105641.43
2010-01-05,AAPL,30.66,30.8,30.46,30.63,21474930.0,27726959802.86
2010-01-06,AAPL,30.63,30.75,30.11,30.14,19642030.0,27285925504.29
2010-01-07,AAPL,30.25,30.29,29.86,30.08,17013540.0,27235484631.43
2010-01-08,AAPL,30.04,30.29,29.87,30.28,15972090.0,27416554431.43
2010-01-11,AAPL,30.4,30.43,29.78,30.02,16467400.0,27174696912.86
2010-01-12,AAPL,29.88,29.97,29.49,29.67,21186100.0,26865584897.14
2010-01-13,AAPL,29.7,30.13,29.16,30.09,21579390.0,27275744414.29
2010-01-14,AAPL,30.02,30.07,29.86,29.92,15445080.0,27117774282.86
2010-01-15,AAPL,30.13,30.23,29.41,29.42,21207920.0,26664581282.86
2010-01-19,AAPL,29.76,30.74,29.61,30.72,26025700.0,27844177920.0
2010-01-20,AAPL,30.7,30.79,29.93,30.25,21813630.0,27414939407.14
2010-01-21,AAPL,30.3,30.47,29.6,29.72,21675770.0,26941935398.86
2010-01-22,AAPL,29.54,29.64,28.17,28.25,31288170.0,25605404500.0
2010-01-25,AAPL,28.93,29.24,28.6,29.01,36594380.0,26294905278.57
2010-01-26,AAPL,29.42,30.53,28.94,29.42,66426150.0,26677908900.0
2010-01-27,AAPL,29.55,30.08,28.5,29.7,61461850.0,26929738825.71
2010-01-28,AAPL,29.28,29.36,28.39,28.47,41832000.0,25816453650.0
2010-01-29,AAPL,28.73,28.89,27.18,27.44,44435740.0,24880252583.57
2010-02-01,AAPL,27.48,28.0,27.33,27.82,26693820.0,25225741478.57
2010-02-02,AAPL,27.99,28.05,27.63,27.98,24922390.0,25372124100.0
2010-02-03,AAPL,27.88,28.6,27.77,28.46,21932050.0,25808681121.43
2010-02-04,AAPL,28.1,28.34,27.37,27.44,26996380.0,24878568535.71
2010-02-05,AAPL,27.52,28.0,27.26,27.92,30334570.0,25320307242.86
2010-02-08,AAPL,27.96,28.27,27.71,27.73,17020060.0,25146720771.43
2010-02-09,AAPL,28.06,28.21,27.82,28.03,22586290.0,25414873007.14
2010-02-10,AAPL,27.98,28.09,27.75,27.87,13187060.0,25275744745.71
2010-02-11,AAPL,27.84,28.54,27.72,28.38,19509930.0,25736137521.43
2010-02-12,AAPL,28.3,28.81,27.93,28.63,22983380.0,25957654585.71
2010-02-16,AAPL,28.85,29.1,28.79,29.06,19375910.0,26348871857.14
2010-02-17,AAPL,29.17,29.19,28.69,28.94,15527410.0,26238761035.71
2010-02-18,AAPL,28.8,29.13,28.7,28.99,15042610.0,26287727965.71
2010-02-19,AAPL,28.84,29.03,28.73,28.81,14830060.0,26124763950.0
2010-02-22,AAPL,28.91,28.93,28.46,28.63,13943980.0,25962318102.86
2010-02-23,AAPL,28.57,28.76,27.96,28.15,20537380.0,25527445129.29
2010-02-24,AAPL,28.32,28.78,28.26,28.67,16431380.0,25993408217.14
2010-02-25,AAPL,28.2,28.98,28.13,28.86,23743520.0,26167512857.14
2010-02-26,AAPL,28.91,29.31,28.86,29.23,18106090.0,26506913271.43
2010-03-01,AAPL,29.39,29.93,29.35,29.86,19616000.0,27073012435.71
2010-03-02,AAPL,29.99,30.12,29.68,29.84,20212320.0,27054876535.71
2010-03-03,AAPL,29.85,29.98,29.71,29.9,13263780.0,27117056764.29
2010-03-04,AAPL,29.9,30.13,29.8,30.1,12798840.0,27295824921.43
2010-03-05,AAPL,30.71,31.39,30.66,31.28,32092480.0,28363252178.57
2010-03-08,AAPL,31.43,31.44,31.18,31.3,15332400.0,28380092657.14
2010-03-09,AAPL,31.19,32.14,31.13,31.86,32844010.0,28890488700.0
2010-03-10,AAPL,31.98,32.21,31.89,32.12,21272530.0,29126255400.0
2010-03-11,AAPL,31.99,32.21,31.9,32.21,14458440.0,29211753214.29
2010-03-12,AAPL,32.48,32.53,32.25,32.37,14834560.0,29354249571.43
2010-03-15,AAPL,32.2,32.21,31.46,31.98,17572200.0,28996713257.14
2010-03-16,AAPL,32.03,32.14,31.79,32.06,15940280.0,29075733964.29
2010-03-17,AAPL,32.13,32.35,31.9,32.02,16071620.0,29032985057.14
2010-03-18,AAPL,32.01,32.14,31.8,32.09,12165150.0,29101642392.86
2010-03-19,AAPL,32.11,32.18,31.6,31.75,19952720.0,28790728295.79
2010-03-22,AAPL,31.5,32.29,31.45,32.11,16261180.0,29114596607.14
2010-03-23,AAPL,32.23,32.68,32.01,32.62,21483540.0,29582243742.86
2010-03-24,AAPL,32.52,32.89,32.5,32.77,21345680.0,29713081307.14
2010-03-25,AAPL,32.99,33.0,32.32,32.38,19351870.0,29360726678.57
2010-03-26,AAPL,32.71,33.14,32.65,32.99,22855230.0,29911280785.71
2010-03-29,AAPL,33.29,33.41,33.09,33.2,18698150.0,30104298578.57
2010-03-30,AAPL,33.8,33.93,33.46,33.69,18760900.0,30551866682.14
2010-03-31,AAPL,33.64,33.8,33.49,33.57,15348340.0,30442403571.43
2010-04-01,AAPL,33.93,34.1,33.25,33.71,21509750.0,30568059450.0
2010-04-05,AAPL,33.57,34.07,33.54,34.07,24337650.0,30894505650.0
2010-04-06,AAPL,34.03,34.32,33.86,34.22,15918850.0,31030524900.0
2010-04-07,AAPL,34.25,34.56,34.09,34.37,22415590.0,31167839571.43
2010-04-08,AAPL,34.35,34.51,34.01,34.28,20414240.0,31083637178.57
2010-04-09,AAPL,34.49,34.56,34.35,34.54,11920440.0,31321994721.43
2010-04-12,AAPL,34.6,34.72,34.54,34.61,11890980.0,31386765792.86
2010-04-13,AAPL,34.55,34.69,34.44,34.63,10883440.0,31404901692.86
2010-04-14,AAPL,35.04,35.12,34.87,35.1,14403960.0,31827209078.57
2010-04-15,AAPL,35.11,35.58,35.07,35.56,13410860.0,32245630200.0
2010-04-16,AAPL,35.51,35.88,34.94,35.34,26787710.0,32048726142.86
2010-04-19,AAPL,35.29,35.41,34.54,35.3,20224480.0,32005977235.71
2010-04-20,AAPL,35.51,35.61,34.71,34.94,25398970.0,31684712721.43
2010-04-21,AAPL,36.97,37.18,36.53,37.03,35010410.0,33579914271.43
2010-04-22,AAPL,36.89,38.11,36.6,38.07,28264250.0,34638674841.57
2010-04-23,AAPL,38.28,38.88,38.14,38.69,28415190.0,35205501220.0
2010-04-26,AAPL,38.84,38.92,38.31,38.5,17054120.0,35032613000.0
2010-04-27,AAPL,38.18,38.26,37.22,37.43,25279380.0,34062879074.29
2010-04-28,AAPL,37.61,37.71,36.63,37.37,27053640.0,34005682971.43
2010-04-29,AAPL,37.57,38.57,37.43,38.38,19931780.0,34920820617.14
2010-04-30,AAPL,38.47,38.65,37.29,37.3,19345990.0,33939387488.57
2010-05-03,AAPL,37.69,38.27,37.55,38.05,16191950.0,34623140900.0
2010-05-04,AAPL,37.56,37.61,36.68,36.95,25802930.0,33626108834.29
2010-05-05,AAPL,36.15,36.88,35.53,36.57,31479040.0,33275782704.29
2010-05-06,AAPL,36.26,36.89,28.46,35.18,45654970.0,32010318928.57
2010-05-07,AAPL,34.82,35.22,32.17,33.69,59794600.0,30659710954.29
2010-05-10,AAPL,35.75,36.38,35.5,36.28,35077030.0,33016450374.29
