date,symbol,open,high,low,close,volume,mktcap
2010-01-04,AXP,40.81,41.1,40.39,40.92,6872282.0,48660795480.0
2010-01-05,AXP,40.83,41.23,40.37,40.83,10621320.0,48553770270.0
2010-01-06,AXP,41.23,41.67,41.17,41.49,8399374.0,49338621810.0
2010-01-07,AXP,41.26,42.24,41.11,41.98,8981995.0,49921314620.0
2010-01-08,AXP,41.76,42.48,41.4,41.95,7907686.0,49885639550.0
2010-01-11,AXP,41.74,41.96,41.25,41.47,7390347.0,49314838430.0
2010-01-12,AXP,41.27,42.35,41.25,42.02,12657170.0,49968881380.0
2010-01-13,AXP,41.85,42.24,41.57,42.15,10137000.0,50123473350.0
2010-01-14,AXP,42.04,42.74,42.02,42.68,8238365.0,50753732920.0
2010-01-15,AXP,42.52,42.84,42.02,42.39,13628960.0,50408873910.0
2010-01-19,AXP,42.24,43.05,42.11,42.96,9533775.0,51086700240.0
2010-01-20,AXP,42.93,43.25,42.26,42.98,11640330.0,51110483620.0
2010-01-21,AXP,42.99,43.1,41.53,42.16,16963140.0,50135365040.0
2010-01-22,AXP,41.36,41.49,38.19,38.59,26161580.0,45999280000.0
2010-01-25,AXP,39.1,39.29,37.5,37.79,17587510.0,45045680000.0
2010-01-26,AXP,37.54,39.23,37.52,38.1,15709620.0,45415200000.0
2010-01-27,AXP,37.96,38.84,37.83,38.67,12907830.0,46094640000.0
2010-01-28,AXP,38.67,38.67,36.83,37.43,14148540.0,44616560000.0
2010-01-29,AXP,37.6,38.77,37.36,37.66,14220110.0,44890720000.0
2010-02-01,AXP,37.84,38.31,37.82,38.21,9356048.0,45546320000.0
2010-02-02,AXP,38.68,39.17,38.45,39.02,11265790.0,46511840000.0
2010-02-03,AXP,38.91,38.91,38.19,38.33,10656880.0,45689360000.0
2010-02-04,AXP,38.03,38.58,37.47,37.53,12934320.0,44735760000.0
2010-02-05,AXP,37.66,37.97,36.6,37.85,13023910.0,45117200000.0
2010-02-08,AXP,37.76,37.87,36.78,36.79,9361808.0,43853680000.0
2010-02-09,AXP,37.27,37.84,37.02,37.54,10677080.0,44747680000.0
2010-02-10,AXP,37.58,38.04,37.0,37.75,8880287.0,44998000000.0
2010-02-11,AXP,37.81,38.48,37.48,38.29,9901832.0,45641680000.0
2010-02-12,AXP,37.79,38.54,37.47,38.42,10692560.0,45796640000.0
2010-02-16,AXP,38.81,39.63,38.66,39.62,10932570.0,47227040000.0
2010-02-17,AXP,39.53,39.58,38.82,39.05,9815847.0,46547600000.0
2010-02-18,AXP,39.07,39.27,38.74,39.15,6853348.0,46666800000.0
2010-02-19,AXP,38.89,39.18,38.59,39.06,9412243.0,46559520000.0
2010-02-22,AXP,39.1,39.24,38.78,38.93,7407306.0,46404560000.0
2010-02-23,AXP,38.74,38.74,37.82,37.93,9695662.0,45212560000.0
2010-02-24,AXP,38.1,38.7,38.02,38.41,6412242.0,45784720000.0
2010-02-25,AXP,37.67,38.13,37.05,38.04,8446837.0,45343680000.0
2010-02-26,AXP,38.15,38.32,37.76,38.19,6451826.0,45703004130.0
2010-03-01,AXP,38.2,38.28,37.86,38.13,9102095.0,45631200510.0
2010-03-02,AXP,38.12,38.94,38.1,38.39,9938310.0,45942349530.0
2010-03-03,AXP,38.46,38.95,38.18,38.28,8220016.0,45810709560.0
2010-03-04,AXP,38.25,39.0,38.2,38.89,8899547.0,46540713030.0
