date,symbol,open,high,low,close,volume,mktcap
2010-01-04,BA,55.72,56.39,54.8,56.18,6095198.0,40820331820.0
2010-01-05,BA,56.25,58.28,56.0,58.02,8865628.0,42157273980.0
2010-01-06,BA,58.23,59.99,57.88,59.78,8836366.0,43436088220.0
2010-01-07,BA,59.51,62.31,59.02,62.2,14378830.0,45194457800.0
2010-01-08,BA,61.54,61.78,60.86,61.6,7146527.0,44758498400.0
2010-01-11,BA,61.95,62.09,60.51,60.87,5624819.0,44228081130.0
2010-01-12,BA,60.07,61.2,59.91,60.43,5273575.0,43908377570.0
2010-01-13,BA,60.61,61.7,60.35,61.16,4950300.0,44438794840.0
2010-01-14,BA,61.03,61.62,60.78,61.56,3000398.0,44729434440.0
2010-01-15,BA,61.53,61.56,60.21,60.82,5066025.0,44191751180.0
2010-01-19,BA,60.6,61.01,59.96,60.65,5426729.0,44068229350.0
2010-01-20,BA,60.33,60.57,58.53,60.2,5374069.0,43741259800.0
2010-01-21,BA,60.3,61.26,58.9,59.2,5401198.0,43014660800.0
2010-01-22,BA,58.62,59.17,57.7,57.77,4743163.0,41975624230.0
2010-01-25,BA,58.35,58.75,57.5,57.78,3489814.0,41982890220.0
2010-01-26,BA,57.54,58.5,57.23,57.71,4551815.0,41932028290.0
2010-01-27,BA,58.84,62.08,58.83,61.93,14757360.0,44998276070.0
2010-01-28,BA,62.15,62.95,61.31,62.56,8845112.0,45456033440.0
2010-01-29,BA,62.8,63.4,60.32,60.6,8725485.0,44031899400.0
2010-02-01,BA,60.74,61.86,60.72,61.7,5916999.0,44831158300.0
2010-02-02,BA,61.29,62.0,61.0,61.94,7862234.0,45005542060.0
2010-02-03,BA,61.52,61.8,60.85,61.46,5480478.0,44656774540.0
2010-02-04,BA,60.95,61.17,59.25,59.32,7490461.0,43101852680.0
2010-02-05,BA,59.21,59.74,57.14,58.4,9675628.0,42433381600.0
2010-02-08,BA,58.33,58.97,57.78,57.89,4724167.0,42062816110.0
2010-02-09,BA,58.62,60.43,58.39,59.74,8250844.0,45221746240.0
2010-02-10,BA,59.71,60.05,58.94,59.54,4237065.0,45070351040.0
2010-02-11,BA,59.75,60.75,58.94,60.59,4395736.0,45865175840.0
2010-02-12,BA,59.87,59.92,58.93,59.65,5178268.0,45153618400.0
2010-02-16,BA,60.42,61.29,59.9,61.26,4268559.0,46372349760.0
2010-02-17,BA,61.39,62.0,61.0,61.82,4113187.0,46796256320.0
2010-02-18,BA,61.78,63.01,61.72,62.89,4379798.0,47606220640.0
2010-02-19,BA,62.65,64.34,62.65,63.59,7371049.0,48136103840.0
2010-02-22,BA,63.58,64.47,63.19,63.97,6034004.0,48423754720.0
2010-02-23,BA,63.81,64.17,62.25,62.77,6483760.0,47515383520.0
2010-02-24,BA,63.0,63.7,62.64,63.48,3399761.0,48052836480.0
2010-02-25,BA,62.72,62.97,62.0,62.87,5043070.0,47591081120.0
2010-02-26,BA,63.09,63.88,63.03,63.16,4415809.0,47810604160.0
2010-03-01,BA,63.05,64.33,63.0,64.0,5265530.0,48446464000.0
2010-03-02,BA,64.64,65.33,64.36,64.44,4383103.0,48779533440.0
2010-03-03,BA,64.58,64.97,64.05,64.45,4287048.0,48787103200.0
2010-03-04,BA,65.09,65.8,64.85,65.55,7718659.0,49619776800.0
2010-03-05,BA,66.06,68.04,66.03,67.93,8504941.0,51421379680.0
2010-03-08,BA,68.01,68.01,67.13,67.24,5075088.0,50899066240.0
2010-03-09,BA,67.57,68.34,67.35,67.79,7655839.0,51315403040.0
2010-03-10,BA,68.14,70.48,68.03,70.01,10616120.0,52995889760.0
2010-03-11,BA,70.08,70.43,69.15,70.07,7291733.0,53041308320.0
2010-03-12,BA,70.48,70.49,69.25,69.83,5299867.0,52859634080.0
2010-03-15,BA,69.37,69.77,68.52,69.4,7708823.0,52534134400.0
2010-03-16,BA,69.24,69.31,68.3,68.72,7493755.0,52019390720.0
2010-03-17,BA,68.97,69.49,68.29,69.38,6004213.0,52518994880.0
2010-03-18,BA,69.35,70.93,69.19,70.87,7433070.0,53646889120.0
2010-03-19,BA,73.2,73.3,70.72,70.72,17721530.0,53533342720.0
2010-03-22,BA,71.66,72.64,71.51,71.91,9013015.0,54434144160.0
2010-03-23,BA,72.54,72.63,71.51,72.18,4985372.0,54638527680.0
2010-03-24,BA,72.42,73.2,71.78,72.32,7699920.0,54744504320.0
2010-03-25,BA,72.95,73.43,72.0,72.49,5430955.0,54873190240.0
2010-03-26,BA,72.66,72.99,72.35,72.59,4933688.0,54948887840.0
2010-03-29,BA,73.08,74.53,73.0,74.11,9062011.0,56099491360.0
2010-03-30,BA,73.84,74.18,72.7,73.53,4381292.0,55660445280.0
2010-03-31,BA,72.92,73.06,71.95,72.61,5884489.0,54964027360.0
2010-04-01,BA,73.24,73.51,72.3,72.99,4410806.0,55251678240.0
2010-04-05,BA,72.99,73.05,70.95,72.04,9326214.0,54532551040.0
2010-04-06,BA,71.84,73.18,71.77,72.36,5193801.0,54774783360.0
2010-04-07,BA,72.16,72.52,71.47,72.1,6717077.0,54577969600.0
2010-04-08,BA,71.89,72.46,71.21,72.28,3741438.0,54714225280.0
2010-04-09,BA,72.26,72.66,71.81,72.42,3345680.0,54820201920.0
2010-04-12,BA,72.15,72.57,71.8,71.92,3666022.0,54441713920.0
2010-04-13,BA,71.54,71.69,70.5,71.19,5079284.0,53889121440.0
2010-04-14,BA,70.83,71.76,70.81,71.7,3495849.0,54275179200.0
2010-04-15,BA,71.34,72.61,71.34,72.09,2943682.0,54570399840.0
2010-04-16,BA,72.1,72.1,69.88,70.79,8071814.0,53586331040.0
2010-04-19,BA,70.27,71.28,70.16,70.96,4203068.0,53715016960.0
2010-04-20,BA,71.54,71.98,70.95,71.41,4754325.0,54055656160.0
2010-04-21,BA,71.51,74.65,71.51,74.16,12017370.0,56137340160.0
2010-04-22,BA,74.46,76.0,73.68,75.59,9087565.0,57375606830.0
2010-04-23,BA,75.04,75.68,74.55,75.13,5197440.0,57026449810.0
2010-04-26,BA,74.58,75.29,74.14,74.34,4023895.0,56426810580.0
2010-04-27,BA,74.65,74.93,72.23,72.48,6048242.0,55015001760.0
2010-04-28,BA,72.95,72.99,71.34,72.37,5699102.0,54931507690.0
2010-04-29,BA,73.0,74.0,72.67,73.79,5201984.0,56009340230.0
2010-04-30,BA,73.8,74.48,72.26,72.43,5600681.0,54977049910.0
2010-05-03,BA,72.62,74.7,72.46,74.39,5407479.0,56464762430.0
2010-05-04,BA,73.31,73.45,72.23,72.79,6229250.0,55250303230.0
2010-05-05,BA,71.9,72.04,70.44,71.0,5509124.0,53891627000.0
2010-05-06,BA,70.66,71.49,62.0,67.97,13769570.0,51591744890.0
2010-05-07,BA,68.29,69.12,65.8,66.72,8926043.0,50642948640.0
2010-05-10,BA,69.96,71.73,69.8,71.0,8841474.0,53891627000.0
2010-05-11,BA,70.31,72.67,70.14,71.42,6550280.0,54210422540.0
2010-05-12,BA,72.04,73.37,72.04,72.87,6329657.0,55311026190.0
2010-05-13,BA,72.66,73.3,71.56,71.76,3953046.0,54468495120.0
2010-05-14,BA,71.08,71.4,68.98,69.82,7952807.0,52995963340.0
2010-05-17,BA,70.36,70.37,67.62,69.68,4814436.0,52889698160.0
2010-05-18,BA,69.89,70.13,67.3,67.72,8880941.0,51405780825.0
2010-05-19,BA,66.85,67.55,65.28,66.21,9974012.0,50255839770.0
2010-05-20,BA,65.0,65.11,62.8,63.0,10898330.0,47819331000.0
2010-05-21,BA,61.99,65.0,61.39,64.56,10882530.0,49003428720.0
2010-05-24,BA,63.66,64.61,63.06,63.15,6159097.0,47933186550.0
2010-05-25,BA,61.0,62.98,60.61,62.78,6903135.0,47652342860.0
2010-05-26,BA,63.6,65.41,63.0,63.26,7386008.0,48016680620.0
2010-05-27,BA,64.86,65.23,63.91,65.13,7443391.0,49436079810.0
2010-05-28,BA,65.15,65.26,63.51,64.18,5775552.0,48714994660.0
2010-06-01,BA,64.27,65.2,62.86,62.95,6318443.0,47781379150.0
2010-06-02,BA,63.39,64.37,62.06,64.34,4587494.0,48836440580.0
2010-06-03,BA,64.84,64.84,63.51,64.31,3775593.0,48813669470.0
2010-06-04,BA,63.25,63.41,60.93,61.15,8207683.0,46417010142.5
2010-06-07,BA,61.69,61.7,60.07,60.11,5918374.0,45625714070.0
2010-06-08,BA,60.33,61.1,59.84,61.02,7191113.0,46312642555.0
2010-06-09,BA,61.48,63.18,61.17,61.71,7726262.0,46840173270.0
2010-06-10,BA,62.81,64.01,62.3,63.89,5660407.0,48494873930.0
2010-06-11,BA,63.16,65.7,63.15,65.38,8461525.0,49625839060.0
2010-06-14,BA,66.22,66.55,64.71,64.82,5996196.0,49200778340.0
