date,symbol,open,high,low,close,volume,mktcap
2010-01-04,CAT,57.65,59.19,57.51,58.55,7324913.0,36460724400.0
2010-01-05,CAT,58.55,59.44,58.23,59.25,5690090.0,36896634000.0
2010-01-06,CAT,59.18,59.93,59.05,59.43,4718649.0,37008725040.0
2010-01-07,CAT,59.3,59.9,58.65,59.67,5433063.0,37158179760.0
2010-01-08,CAT,59.25,60.37,59.25,60.34,6640882.0,37575407520.0
2010-01-11,CAT,60.95,64.42,60.85,64.13,21851400.0,39935546640.0
2010-01-12,CAT,63.01,63.16,61.18,62.24,13526460.0,38758590720.0
2010-01-13,CAT,62.1,62.78,61.38,62.33,8398154.0,38814636240.0
2010-01-14,CAT,62.1,62.84,61.75,61.98,6215648.0,38596681440.0
2010-01-15,CAT,61.45,61.67,60.01,60.12,9396919.0,37438407360.0
2010-01-19,CAT,59.76,61.2,59.35,60.93,7986912.0,37942817040.0
2010-01-20,CAT,60.17,60.43,59.31,59.76,6953482.0,37214225280.0
2010-01-21,CAT,59.5,59.9,56.7,56.85,13874510.0,35402086800.0
2010-01-22,CAT,56.58,57.54,54.02,54.25,14754650.0,33782994000.0
2010-01-25,CAT,55.16,56.19,54.83,55.14,9777005.0,34337221920.0
2010-01-26,CAT,54.99,56.94,54.6,55.85,15217210.0,34779358800.0
2010-01-27,CAT,52.96,53.84,51.03,53.44,34038790.0,33278584320.0
2010-01-28,CAT,53.82,53.82,51.2,51.86,15621400.0,32294674080.0
2010-01-29,CAT,52.78,53.78,52.0,52.24,13962280.0,32531310720.0
2010-02-01,CAT,52.82,53.5,52.5,52.94,7140551.0,32967220320.0
2010-02-02,CAT,53.48,53.72,52.62,53.55,7662194.0,33347084400.0
2010-02-03,CAT,53.2,54.0,53.1,53.39,6340736.0,33247447920.0
2010-02-04,CAT,52.8,52.86,51.38,51.4,11638860.0,32008219200.0
2010-02-05,CAT,51.21,51.98,50.69,51.75,15988660.0,32226174000.0
2010-02-08,CAT,51.64,52.15,50.5,50.78,8665796.0,31622127840.0
2010-02-09,CAT,52.7,54.25,52.55,53.53,15494200.0,33334629840.0
2010-02-10,CAT,53.65,54.05,52.45,53.15,8580164.0,33097993200.0
2010-02-11,CAT,53.1,56.27,52.67,56.15,16401120.0,34966177200.0
2010-02-12,CAT,55.09,56.55,54.61,56.2,13447620.0,34997313600.0
2010-02-16,CAT,56.77,57.24,56.19,57.12,7364045.0,35570223360.0
2010-02-17,CAT,58.05,58.35,57.22,57.5,8450799.0,35806860000.0
2010-02-18,CAT,57.15,58.05,56.85,57.81,6839540.0,35999905680.0
2010-02-19,CAT,57.59,58.48,57.31,58.25,8004828.0,36390114750.0
2010-02-22,CAT,58.73,58.97,58.0,58.03,6993577.0,36252675690.0
2010-02-23,CAT,57.89,58.38,56.22,56.66,10310680.0,35396805180.0
2010-02-24,CAT,56.67,57.46,56.46,56.96,5809376.0,35584222080.0
2010-02-25,CAT,55.33,57.02,54.21,56.79,9964744.0,35478019170.0
2010-02-26,CAT,56.94,57.24,56.1,57.05,6106186.0,35640447150.0
2010-03-01,CAT,57.33,58.39,57.25,57.85,8398415.0,36140225550.0
2010-03-02,CAT,58.28,58.82,58.02,58.15,6583402.0,36327642450.0
2010-03-03,CAT,58.45,59.93,58.39,58.57,8828564.0,36590026110.0
2010-03-04,CAT,58.79,59.0,57.81,58.45,6195297.0,36515059350.0
2010-03-05,CAT,59.41,59.58,58.9,59.23,6626696.0,37002343290.0
2010-03-08,CAT,59.47,59.49,58.57,58.91,4755005.0,36802431930.0
2010-03-09,CAT,58.46,59.72,58.4,59.18,7692241.0,36971107140.0
2010-03-10,CAT,59.11,59.5,58.43,58.78,6529667.0,36721217940.0
