date,symbol,open,high,low,close,volume,mktcap
2010-01-04,DIS,32.5,32.75,31.87,32.07,13700390.0,61686965700.0
2010-01-05,DIS,32.07,32.16,31.7,31.99,10307080.0,61533084900.0
2010-01-06,DIS,31.9,32.0,31.68,31.82,10709500.0,61206088200.0
2010-01-07,DIS,31.77,31.86,31.54,31.83,8203139.0,61225323300.0
2010-01-08,DIS,31.66,31.94,31.53,31.88,7650951.0,61321498800.0
2010-01-11,DIS,31.53,31.74,31.09,31.36,11250420.0,60321273600.0
2010-01-12,DIS,31.02,31.12,30.68,30.82,14603980.0,59282578200.0
2010-01-13,DIS,30.89,31.37,30.87,31.29,9608432.0,60186627900.0
2010-01-14,DIS,31.13,31.18,30.96,31.02,9235595.0,59667280200.0
2010-01-15,DIS,31.01,31.15,30.41,30.6,13936360.0,58859406000.0
2010-01-19,DIS,30.59,31.19,30.5,31.01,9662088.0,59648045100.0
2010-01-20,DIS,31.0,31.24,30.72,31.19,13302290.0,59994276900.0
2010-01-21,DIS,31.14,31.42,30.57,30.61,15403550.0,58878641100.0
2010-01-22,DIS,30.5,30.71,29.95,29.98,14459400.0,57666829800.0
2010-01-25,DIS,30.22,30.23,29.55,29.92,11155800.0,57551419200.0
2010-01-26,DIS,29.8,29.94,29.32,29.66,11197240.0,57410073960.0
2010-01-27,DIS,29.56,29.81,29.01,29.32,16121180.0,56751967920.0
2010-01-28,DIS,29.43,29.48,28.71,29.35,17125820.0,56810036100.0
2010-01-29,DIS,29.37,29.82,29.25,29.55,14508360.0,57197157300.0
2010-02-01,DIS,29.6,29.77,29.34,29.52,10868500.0,57139089120.0
2010-02-02,DIS,29.53,30.01,29.22,29.98,10097350.0,58029467880.0
2010-02-03,DIS,29.92,30.87,29.79,30.75,15976130.0,59519884500.0
2010-02-04,DIS,30.28,30.49,29.66,29.67,13406720.0,57429430020.0
2010-02-05,DIS,29.63,29.84,28.99,29.54,11956070.0,57177801240.0
2010-02-08,DIS,29.76,29.95,29.46,29.48,10656260.0,57061664880.0
2010-02-09,DIS,29.89,30.04,29.48,29.84,14306560.0,57758483040.0
2010-02-10,DIS,29.16,30.09,29.03,30.03,24191140.0,58243635450.0
2010-02-11,DIS,29.82,30.43,29.76,30.16,12389350.0,58495772400.0
2010-02-12,DIS,29.86,30.2,29.86,30.07,12802510.0,58321216050.0
2010-02-16,DIS,30.28,30.5,30.17,30.47,9061563.0,59097022050.0
2010-02-17,DIS,30.54,30.93,30.38,30.86,9755933.0,59853432900.0
2010-02-18,DIS,30.86,31.07,30.68,31.02,8205453.0,60163755300.0
2010-02-19,DIS,30.94,31.52,30.85,31.23,12595310.0,60571053450.0
2010-02-22,DIS,31.35,31.47,31.06,31.12,7745968.0,60357706800.0
2010-02-23,DIS,31.03,31.27,30.86,30.92,10228540.0,59969803800.0
2010-02-24,DIS,31.05,31.5,31.01,31.39,12062100.0,60881375850.0
2010-02-25,DIS,30.88,31.41,30.85,31.36,10553780.0,60823190400.0
2010-02-26,DIS,31.39,31.41,30.98,31.24,13335450.0,60590448600.0
2010-03-01,DIS,31.4,31.6,31.34,31.54,8567391.0,61172303100.0
2010-03-02,DIS,31.41,31.92,31.39,31.88,14070550.0,61831738200.0
2010-03-03,DIS,31.95,31.96,31.55,31.64,10340100.0,61366254600.0
2010-03-04,DIS,32.02,32.86,31.92,32.57,23075120.0,63170003550.0
2010-03-05,DIS,32.79,33.22,32.75,33.22,19204750.0,64430688300.0
2010-03-08,DIS,32.96,33.5,32.95,33.19,13176580.0,64372502850.0
2010-03-09,DIS,33.0,33.34,32.78,33.31,11072870.0,64605244650.0
2010-03-10,DIS,33.18,33.6,33.1,33.33,9652890.0,64644034950.0
2010-03-11,DIS,33.32,33.81,33.12,33.81,11397870.0,65575002150.0
2010-03-12,DIS,33.81,33.81,33.47,33.69,9610344.0,65342260350.0
2010-03-15,DIS,33.52,33.75,33.36,33.72,8235895.0,65400445800.0
2010-03-16,DIS,33.74,33.83,33.49,33.75,8472594.0,65458631250.0
2010-03-17,DIS,33.79,33.84,33.53,33.75,7858392.0,65458631250.0
2010-03-18,DIS,33.69,33.85,33.52,33.78,8044175.0,65516816700.0
2010-03-19,DIS,33.81,33.98,33.48,33.64,16728960.0,65245284600.0
2010-03-22,DIS,33.47,34.19,33.42,33.95,11717580.0,65846534250.0
2010-03-23,DIS,34.0,34.1,33.73,34.01,7037962.0,65962905150.0
2010-03-24,DIS,33.91,34.43,33.87,34.39,12195190.0,66699920850.0
2010-03-25,DIS,34.49,35.5,34.42,35.09,32705630.0,68057581350.0
2010-03-26,DIS,34.89,35.6,34.85,35.31,22909470.0,68484274650.0
2010-03-29,DIS,35.28,35.42,34.97,35.16,12560470.0,68193347400.0
2010-03-30,DIS,35.13,35.2,34.76,35.1,17201750.0,68076976500.0
2010-03-31,DIS,35.07,35.2,34.81,34.91,10789480.0,67708468650.0
2010-04-01,DIS,35.07,35.59,35.01,35.55,14602940.0,68949758250.0
2010-04-05,DIS,35.28,35.54,35.07,35.22,10606890.0,68309718300.0
2010-04-06,DIS,35.24,35.61,35.1,35.47,12637700.0,68794597050.0
2010-04-07,DIS,35.39,35.49,35.06,35.32,9242151.0,68503669800.0
2010-04-08,DIS,35.28,35.75,35.14,35.67,9807274.0,69182500050.0
2010-04-09,DIS,35.82,36.88,35.64,36.22,21339980.0,70249233300.0
2010-04-12,DIS,36.14,36.33,35.8,35.89,10410800.0,69609193350.0
2010-04-13,DIS,35.87,36.06,35.71,35.84,10922200.0,69512217600.0
2010-04-14,DIS,35.89,36.21,35.77,36.2,9267354.0,70210443000.0
2010-04-15,DIS,36.08,36.51,35.86,36.4,9185896.0,70598346000.0
2010-04-16,DIS,36.22,36.51,35.68,35.83,12333760.0,69492822450.0
2010-04-19,DIS,35.8,36.17,35.58,36.17,9840403.0,70152257550.0
2010-04-20,DIS,36.28,36.65,36.28,36.54,16515000.0,70869878100.0
2010-04-21,DIS,36.39,36.75,36.35,36.56,8995190.0,70908668400.0
2010-04-22,DIS,36.3,36.87,36.12,36.78,10494550.0,71335361700.0
2010-04-23,DIS,36.8,36.85,36.49,36.79,7677095.0,71354756850.0
2010-04-26,DIS,36.76,37.14,36.67,37.04,9983116.0,71839635600.0
2010-04-27,DIS,36.78,36.82,36.16,36.32,10931590.0,70443184800.0
2010-04-28,DIS,36.52,36.55,35.96,36.29,10930850.0,70384999350.0
