date,symbol,open,high,low,close,volume,mktcap
2010-01-04,IBM,131.18,132.97,130.85,132.45,6155285.0,173986717350.0
2010-01-05,IBM,131.68,131.85,130.1,130.85,6841401.0,171884952550.0
2010-01-06,IBM,130.68,131.49,129.81,130.0,5605290.0,170768390000.0
2010-01-07,IBM,129.87,130.25,128.91,129.55,5841307.0,170177268650.0
2010-01-08,IBM,129.07,130.92,129.05,130.85,4191134.0,171884952550.0
2010-01-11,IBM,131.06,131.06,128.67,129.48,5730378.0,170085316440.0
2010-01-12,IBM,129.03,131.33,129.0,130.51,8081187.0,171438327530.0
2010-01-13,IBM,130.39,131.12,129.16,130.23,6454422.0,171070518690.0
2010-01-14,IBM,130.55,132.71,129.91,132.31,7110698.0,173802812930.0
2010-01-15,IBM,132.03,132.89,131.09,131.78,8493769.0,173106603340.0
2010-01-19,IBM,131.63,134.25,131.56,134.14,13810820.0,176206706420.0
2010-01-20,IBM,130.46,131.15,128.95,130.25,15192670.0,171096790750.0
2010-01-21,IBM,130.47,130.69,128.06,129.0,9608496.0,169454787000.0
2010-01-22,IBM,128.67,128.89,125.37,125.5,10084300.0,164857176500.0
2010-01-25,IBM,126.33,126.9,125.71,126.12,5738455.0,165671610360.0
2010-01-26,IBM,125.92,127.75,125.41,125.75,7135190.0,165185577250.0
2010-01-27,IBM,125.82,126.96,125.04,126.33,8719147.0,165947466990.0
2010-01-28,IBM,127.03,127.04,123.05,123.75,9616132.0,162558371250.0
2010-01-29,IBM,124.32,125.0,121.9,122.39,11571890.0,160771871170.0
2010-02-01,IBM,123.23,124.95,122.78,124.67,7242115.0,163766886010.0
2010-02-02,IBM,124.79,125.81,123.95,125.53,5899853.0,164896584590.0
2010-02-03,IBM,125.16,126.07,125.07,125.66,4176926.0,165067352980.0
2010-02-04,IBM,125.19,125.44,122.9,123.0,9126855.0,161573169000.0
2010-02-05,IBM,123.04,123.72,121.83,123.52,8616744.0,162256242560.0
2010-02-08,IBM,123.15,123.22,121.74,121.88,5718339.0,160101933640.0
2010-02-09,IBM,122.65,124.2,122.46,123.21,6044466.0,161849025630.0
2010-02-10,IBM,122.94,123.65,122.21,122.81,5219060.0,161323584430.0
2010-02-11,IBM,122.58,124.2,122.06,123.73,5088996.0,162532099190.0
2010-02-12,IBM,123.01,124.05,121.61,124.0,8017664.0,162886772000.0
2010-02-16,IBM,124.91,125.23,124.11,125.23,6777265.0,164502503690.0
2010-02-17,IBM,125.5,126.53,125.21,126.33,5821173.0,165947466990.0
2010-02-18,IBM,126.13,128.0,126.0,127.81,5524647.0,167891599430.0
2010-02-19,IBM,127.35,128.06,126.87,127.19,6303078.0,167077165570.0
2010-02-22,IBM,127.3,127.43,126.31,126.85,3808077.0,166630540550.0
2010-02-23,IBM,126.48,127.66,126.0,126.46,4594376.0,166118235380.0
2010-02-24,IBM,127.02,128.27,126.81,127.59,4782000.0,165739792770.0
2010-02-25,IBM,126.05,127.24,125.57,127.07,5658676.0,165064311210.0
2010-02-26,IBM,127.01,128.0,126.74,127.16,4784139.0,165181221480.0
2010-03-01,IBM,127.5,128.83,127.47,128.57,4577615.0,167012815710.0
2010-03-02,IBM,128.7,129.09,127.13,127.42,6013237.0,165518962260.0
2010-03-03,IBM,127.73,128.02,126.68,126.88,6388196.0,164817500640.0
2010-03-04,IBM,127.07,127.07,125.47,126.72,6032228.0,164609660160.0
2010-03-05,IBM,127.17,127.55,127.04,127.25,6139940.0,165298131750.0
2010-03-08,IBM,127.06,127.5,126.36,126.41,6199170.0,164206969230.0
2010-03-09,IBM,126.27,126.29,125.2,125.55,7528715.0,163089826650.0
2010-03-10,IBM,125.98,126.36,125.21,125.62,6916173.0,163180756860.0
2010-03-11,IBM,125.71,127.81,125.71,127.6,7927511.0,165752782800.0
2010-03-12,IBM,127.91,128.37,127.51,127.94,5169194.0,166194443820.0
2010-03-15,IBM,127.4,128.34,127.28,127.83,4497617.0,166051553490.0
2010-03-16,IBM,128.0,128.88,127.45,128.67,6134831.0,167142716010.0
2010-03-17,IBM,128.9,128.93,127.36,127.76,6347585.0,165960623280.0
2010-03-18,IBM,127.46,128.75,127.45,128.38,4954336.0,166766005140.0
2010-03-19,IBM,128.84,128.93,126.78,127.71,10743850.0,165895673130.0
2010-03-22,IBM,127.11,128.39,126.57,127.98,5651866.0,166246403940.0
2010-03-23,IBM,127.94,129.43,127.64,129.37,5976750.0,168052018110.0
2010-03-24,IBM,128.63,129.95,128.47,128.53,6669246.0,166960855590.0
2010-03-25,IBM,129.36,130.73,129.13,129.24,7603162.0,167883147720.0
2010-03-26,IBM,128.93,129.78,128.72,129.26,5550605.0,167909127780.0
2010-03-29,IBM,129.3,129.95,128.26,128.59,4642665.0,167038795770.0
2010-03-30,IBM,128.9,129.13,128.25,128.77,3426538.0,167272616310.0
2010-03-31,IBM,128.23,128.75,127.65,128.25,4904711.0,166597134750.0
2010-04-01,IBM,128.95,129.31,127.55,128.25,4980425.0,166597134750.0
2010-04-05,IBM,128.38,129.8,128.14,129.35,4118684.0,168026038050.0
2010-04-06,IBM,128.68,129.3,128.05,128.93,3926209.0,167480456790.0
2010-04-07,IBM,128.53,129.27,128.01,128.48,5156458.0,166895905440.0
2010-04-08,IBM,128.04,128.23,127.2,127.61,5982968.0,165765772830.0
2010-04-09,IBM,127.88,128.87,127.12,128.76,5184577.0,167259626280.0
2010-04-12,IBM,128.57,128.96,128.24,128.36,3992268.0,166740025080.0
2010-04-13,IBM,128.26,129.44,127.84,129.03,6818983.0,167610357090.0
2010-04-14,IBM,129.73,131.42,129.46,131.25,8545757.0,170494143750.0
2010-04-15,IBM,130.53,131.14,130.19,130.89,6423599.0,170026502670.0
2010-04-16,IBM,130.68,132.17,130.25,130.63,9547782.0,169688761890.0
2010-04-19,IBM,130.38,132.28,130.38,132.23,11263060.0,171767166690.0
2010-04-20,IBM,129.2,130.33,128.26,129.69,15214850.0,166003200000.0
2010-04-21,IBM,129.87,130.27,128.5,128.99,7528587.0,165107200000.0
2010-04-22,IBM,128.64,129.36,127.77,129.13,6016763.0,165286400000.0
2010-04-23,IBM,129.08,130.1,128.71,129.99,6197282.0,166387200000.0
2010-04-26,IBM,129.76,131.04,129.54,130.73,5285384.0,167334400000.0
2010-04-27,IBM,129.9,132.0,128.71,128.82,10916660.0,164889600000.0
2010-04-28,IBM,129.4,130.47,129.03,130.1,7122626.0,166833474800.0
2010-04-29,IBM,130.55,131.21,130.15,130.46,5786888.0,167295120080.0
2010-04-30,IBM,130.43,130.64,128.84,129.0,6266689.0,165422892000.0
2010-05-03,IBM,129.39,130.14,128.8,129.6,4992019.0,166192300800.0
2010-05-04,IBM,128.89,128.93,126.58,128.12,8284974.0,164294425760.0
2010-05-05,IBM,127.12,128.23,126.87,127.46,6072714.0,163448076080.0
2010-05-06,IBM,126.29,127.93,116.0,123.92,13167560.0,158908564160.0
2010-05-07,IBM,123.36,124.39,120.0,122.1,10584640.0,156574690800.0
2010-05-10,IBM,126.27,126.67,125.06,126.27,8463714.0,161922081960.0
2010-05-11,IBM,125.21,128.42,125.15,126.89,6498850.0,162717137720.0
2010-05-12,IBM,127.16,132.85,127.01,132.68,16625890.0,170141932640.0
2010-05-13,IBM,130.93,133.1,130.85,131.48,10493970.0,168603115040.0
2010-05-14,IBM,131.06,131.67,129.41,131.19,9920067.0,168231234120.0
2010-05-17,IBM,130.68,131.76,128.7,130.44,8923316.0,167269473120.0
2010-05-18,IBM,131.26,131.99,129.9,129.95,9330025.0,166641122600.0
2010-05-19,IBM,129.37,130.5,127.82,128.86,8669438.0,165243363280.0
2010-05-20,IBM,127.22,127.96,123.68,123.8,13176840.0,158754682400.0
2010-05-21,IBM,122.16,125.61,121.4,125.42,12639480.0,160832086160.0
2010-05-24,IBM,125.26,126.02,124.04,124.45,6868066.0,159588208600.0
2010-05-25,IBM,121.47,124.95,121.47,124.52,9492517.0,159677972960.0
2010-05-26,IBM,124.89,125.94,123.0,123.23,9081936.0,158023744040.0
2010-05-27,IBM,125.05,126.39,124.77,126.39,7724647.0,162075963720.0
2010-05-28,IBM,125.96,126.28,124.29,125.26,7421573.0,160626910480.0
2010-06-01,IBM,124.69,126.88,124.2,124.34,7135389.0,159447150320.0
2010-06-02,IBM,124.85,127.5,124.35,127.41,7705097.0,163383958680.0
2010-06-03,IBM,127.75,128.22,126.46,127.96,6645219.0,164089250080.0
2010-06-04,IBM,126.37,127.1,124.67,125.28,9632446.0,160652557440.0
2010-06-07,IBM,125.57,125.86,124.13,124.13,6951225.0,159177857240.0
2010-06-08,IBM,124.26,124.46,122.82,123.72,8282423.0,158652094560.0
2010-06-09,IBM,124.83,125.84,123.58,123.9,7795441.0,158882917200.0
2010-06-10,IBM,125.99,128.22,125.8,127.68,7427071.0,163730192640.0
2010-06-11,IBM,126.73,128.8,126.44,128.45,5819905.0,164717600600.0
2010-06-14,IBM,128.5,129.97,128.49,128.5,6749055.0,164781718000.0
2010-06-15,IBM,128.93,129.95,128.37,129.79,6652215.0,166435946920.0
2010-06-16,IBM,128.34,130.68,128.34,130.35,6384270.0,167154061800.0
2010-06-17,IBM,130.07,131.03,129.86,130.98,5570943.0,167961941040.0
2010-06-18,IBM,131.02,131.25,130.13,130.15,9581387.0,166897592200.0
2010-06-21,IBM,131.42,131.94,130.22,130.65,6856288.0,167538766200.0
2010-06-22,IBM,130.37,131.47,129.07,129.3,6020125.0,165807596400.0
2010-06-23,IBM,129.25,131.47,129.09,130.11,6849270.0,166846298280.0
2010-06-24,IBM,129.57,129.73,127.7,128.19,5549634.0,164384190120.0
2010-06-25,IBM,128.34,129.1,127.12,127.12,10297830.0,163012077760.0
2010-06-28,IBM,127.65,129.47,127.22,128.98,6327027.0,165397245040.0
