date,symbol,open,high,low,close,volume,mktcap
2010-01-04,JPM,41.79,42.99,41.67,42.85,35392400.0,175896421900.0
2010-01-05,JPM,42.79,43.84,42.78,43.68,41172190.0,179303517120.0
2010-01-06,JPM,43.45,44.09,43.31,43.92,27718870.0,180288701280.0
2010-01-07,JPM,43.79,45.12,43.61,44.79,44847750.0,183859993860.0
2010-01-08,JPM,44.37,44.7,44.08,44.68,33030560.0,183408451120.0
2010-01-11,JPM,45.12,45.19,44.31,44.53,31856920.0,182792711020.0
2010-01-12,JPM,43.99,44.15,42.94,43.49,47078480.0,178523579660.0
2010-01-13,JPM,43.55,44.53,42.87,44.25,39564320.0,181643329500.0
2010-01-14,JPM,44.2,44.79,44.1,44.69,37898210.0,183449500460.0
2010-01-15,JPM,44.3,44.43,43.34,43.68,69712900.0,179303517120.0
2010-01-19,JPM,43.4,43.75,42.9,43.28,41710940.0,170609760000.0
2010-01-20,JPM,43.01,43.68,42.71,43.4,39934150.0,171082800000.0
2010-01-21,JPM,43.04,43.15,40.32,40.54,137456400.0,159808680000.0
2010-01-22,JPM,40.65,41.2,38.82,39.16,106549900.0,154368720000.0
2010-01-25,JPM,39.76,39.89,38.84,39.21,56560420.0,154565820000.0
2010-01-26,JPM,39.0,39.84,38.28,38.44,52915200.0,151530480000.0
2010-01-27,JPM,38.35,39.49,38.07,39.33,66299120.0,155038860000.0
2010-01-28,JPM,39.68,40.04,38.72,39.48,65029750.0,155630160000.0
2010-01-29,JPM,39.65,39.85,38.8,38.94,53592030.0,153501480000.0
2010-02-01,JPM,39.1,39.93,38.95,39.63,37364680.0,156221460000.0
2010-02-02,JPM,39.8,40.68,39.7,40.55,45913550.0,159848100000.0
2010-02-03,JPM,40.58,41.1,40.17,40.29,37365570.0,158823180000.0
2010-02-04,JPM,39.79,39.92,38.35,38.35,57111640.0,151175700000.0
2010-02-05,JPM,38.64,38.88,37.02,38.3,75197140.0,150978600000.0
2010-02-08,JPM,38.29,38.29,37.32,37.7,58259060.0,148613400000.0
2010-02-09,JPM,38.19,38.7,37.84,38.39,45173450.0,151333380000.0
2010-02-10,JPM,38.64,39.5,38.52,38.87,39312010.0,153225540000.0
2010-02-11,JPM,38.84,39.37,38.36,39.02,33810750.0,153816840000.0
2010-02-12,JPM,38.67,39.18,38.36,38.95,38049770.0,153540900000.0
2010-02-16,JPM,39.33,40.14,38.75,40.07,46188600.0,157955940000.0
2010-02-17,JPM,40.26,40.45,39.76,40.04,34384620.0,157837680000.0
2010-02-18,JPM,39.94,40.51,39.77,40.41,31767080.0,159296220000.0
2010-02-19,JPM,40.11,40.7,39.9,40.03,40289810.0,157798260000.0
2010-02-22,JPM,40.4,41.3,40.25,40.85,43864130.0,161030700000.0
2010-02-23,JPM,40.9,41.25,39.76,39.88,52194190.0,157206960000.0
2010-02-24,JPM,40.05,40.97,40.0,40.85,44621340.0,162297499350.0
2010-02-25,JPM,40.16,40.69,39.7,40.64,46488600.0,161463167040.0
2010-02-26,JPM,40.69,42.3,40.6,41.97,67221790.0,166747271670.0
2010-03-01,JPM,42.03,42.18,41.41,41.83,34183140.0,166191050130.0
2010-03-02,JPM,41.98,42.4,41.36,41.62,33879770.0,165356717820.0
2010-03-03,JPM,41.65,42.06,41.34,41.53,27543750.0,164999146830.0
2010-03-04,JPM,41.91,42.08,41.66,41.92,25443890.0,166548621120.0
2010-03-05,JPM,42.32,42.87,42.19,42.81,34648060.0,170084600910.0
2010-03-08,JPM,42.85,43.03,42.47,42.59,28413580.0,169210538490.0
2010-03-09,JPM,42.39,42.82,42.05,42.42,36979730.0,168535126620.0
2010-03-10,JPM,42.87,43.49,42.81,42.93,40848010.0,170561362230.0
2010-03-11,JPM,42.91,43.2,42.8,43.18,30112820.0,171554614980.0
2010-03-12,JPM,43.34,43.54,42.85,43.15,31363490.0,171435424650.0
2010-03-15,JPM,42.92,43.21,42.6,43.07,29121950.0,171117583770.0
2010-03-16,JPM,43.35,43.38,42.69,43.24,28531890.0,171792995640.0
2010-03-17,JPM,43.31,44.11,43.26,43.79,32889880.0,173978151690.0
2010-03-18,JPM,43.75,43.79,43.15,43.64,25955330.0,173382200040.0
2010-03-19,JPM,43.72,43.89,43.13,43.45,36994620.0,172627327950.0
2010-03-22,JPM,43.07,43.79,43.04,43.74,23182150.0,173779501140.0
2010-03-23,JPM,43.85,44.74,43.78,44.58,33611590.0,177116830380.0
2010-03-24,JPM,44.44,44.97,44.2,44.94,35848000.0,178547114340.0
2010-03-25,JPM,44.98,46.05,44.89,44.94,44993710.0,178547114340.0
2010-03-26,JPM,45.04,45.89,44.8,45.02,39707450.0,178864955220.0
2010-03-29,JPM,45.25,45.38,44.46,44.86,30602850.0,178229273460.0
2010-03-30,JPM,44.9,45.05,44.36,44.58,30294360.0,177116830380.0
2010-03-31,JPM,44.31,45.0,44.25,44.75,39039860.0,177792242250.0
2010-04-01,JPM,45.03,45.31,44.99,45.18,23893560.0,179567096760.0
2010-04-05,JPM,45.28,45.4,44.79,45.34,21341130.0,180203013880.0
2010-04-06,JPM,45.23,45.94,45.15,45.84,27965930.0,182190254880.0
2010-04-07,JPM,45.83,46.05,45.02,45.32,28873370.0,180123524240.0
2010-04-08,JPM,45.16,45.97,44.81,45.76,28864360.0,181872296320.0
2010-04-09,JPM,45.88,46.22,45.45,45.98,22830980.0,182746682360.0
2010-04-12,JPM,46.03,46.47,45.9,46.14,24624350.0,183382599480.0
2010-04-13,JPM,46.04,46.38,45.85,45.87,27900250.0,182309489340.0
2010-04-14,JPM,47.4,47.93,46.78,47.73,72476360.0,189702025860.0
2010-04-15,JPM,47.65,48.2,47.49,47.81,45396280.0,190063874000.0
2010-04-16,JPM,47.67,47.75,45.14,45.55,121131100.0,181079470000.0
2010-04-19,JPM,45.23,45.7,44.59,45.39,72097390.0,180443406000.0
2010-04-20,JPM,45.77,46.15,45.56,45.88,39298530.0,182391352000.0
2010-04-21,JPM,46.04,46.39,45.0,45.35,46191690.0,180284390000.0
