date,symbol,open,high,low,close,volume,mktcap
2010-01-04,MCD,62.63,63.07,62.31,62.78,5818212.0,67751359860.0
2010-01-05,MCD,62.66,62.75,62.19,62.3,7098999.0,67233350100.0
2010-01-06,MCD,62.2,62.41,61.06,61.45,10551270.0,66316041150.0
2010-01-07,MCD,61.25,62.34,61.11,61.9,7517547.0,66801675300.0
2010-01-08,MCD,62.27,62.41,61.6,61.84,6107296.0,66736924080.0
2010-01-11,MCD,62.02,62.43,61.85,62.32,6076871.0,67254933840.0
2010-01-12,MCD,62.03,62.66,62.0,62.66,7193533.0,67621857420.0
2010-01-13,MCD,62.86,63.29,62.56,62.59,8622716.0,67546314330.0
2010-01-14,MCD,62.56,62.73,62.08,62.65,7095599.0,67611065550.0
2010-01-15,MCD,62.67,62.98,62.05,62.28,9429046.0,67211766360.0
2010-01-19,MCD,62.9,63.82,62.77,63.48,8545148.0,68506790760.0
2010-01-20,MCD,63.49,63.6,62.75,63.01,6996729.0,67999572870.0
2010-01-21,MCD,62.97,63.6,62.8,63.2,11720020.0,68204618400.0
2010-01-22,MCD,63.23,64.78,62.81,63.39,15645790.0,68409663930.0
2010-01-25,MCD,63.34,63.6,62.92,63.09,6382145.0,68085907830.0
2010-01-26,MCD,62.75,64.0,62.75,63.81,9292627.0,68862922470.0
2010-01-27,MCD,63.67,64.0,63.3,63.73,8080776.0,68776587510.0
2010-01-28,MCD,63.85,63.87,62.75,62.83,8560054.0,67805319210.0
2010-01-29,MCD,62.82,63.22,62.39,62.43,7590614.0,67373644410.0
2010-02-01,MCD,62.83,63.97,62.83,63.89,8060062.0,68949257430.0
2010-02-02,MCD,63.87,64.05,63.35,64.03,7271325.0,69100343610.0
2010-02-03,MCD,64.63,65.75,64.61,65.21,13694370.0,70373784270.0
2010-02-04,MCD,65.19,65.27,64.02,64.06,10868360.0,69132719220.0
2010-02-05,MCD,64.07,64.34,62.63,63.37,14007530.0,68388080190.0
2010-02-08,MCD,63.48,63.8,62.92,62.92,6969773.0,67902446040.0
2010-02-09,MCD,63.15,63.85,62.77,63.57,10131420.0,68603917590.0
2010-02-10,MCD,63.54,63.83,62.97,63.25,6161289.0,68258577750.0
2010-02-11,MCD,63.25,63.84,62.54,63.79,7478889.0,68841338730.0
2010-02-12,MCD,63.21,63.89,63.19,63.59,6749802.0,68625501330.0
2010-02-16,MCD,63.5,64.18,63.28,64.01,7079173.0,69078759870.0
2010-02-17,MCD,64.21,64.35,63.77,64.26,5406207.0,69348556620.0
2010-02-18,MCD,64.11,64.62,64.0,64.48,4975620.0,69585977760.0
2010-02-19,MCD,64.46,64.89,64.3,64.74,5622082.0,69866566380.0
2010-02-22,MCD,64.93,64.93,64.63,64.77,4274900.0,69898941990.0
2010-02-23,MCD,64.78,65.05,64.7,64.87,7485645.0,70006860690.0
2010-02-24,MCD,64.96,65.55,64.77,65.26,7579688.0,70427743620.0
2010-02-25,MCD,64.29,64.64,63.76,64.38,8490756.0,69478059060.0
2010-02-26,MCD,64.46,64.73,63.85,63.85,8288330.0,68906089950.0
2010-03-01,MCD,63.98,64.14,63.67,63.98,6314518.0,68839984780.0
2010-03-02,MCD,64.42,64.42,63.91,64.07,6271660.0,68936821270.0
2010-03-03,MCD,64.25,64.34,63.45,63.63,6393973.0,68463398430.0
2010-03-04,MCD,63.79,63.79,63.3,63.43,5958083.0,68248206230.0
2010-03-05,MCD,63.72,63.76,63.25,63.67,8154560.0,68506436870.0
2010-03-08,MCD,64.41,65.54,64.23,65.12,11821590.0,70066580320.0
2010-03-09,MCD,64.99,65.5,64.84,65.1,7126830.0,70045061100.0
2010-03-10,MCD,65.02,65.24,64.73,64.94,6896795.0,69872907340.0
2010-03-11,MCD,64.8,65.21,64.67,65.21,4350525.0,70163416810.0
2010-03-12,MCD,65.46,65.98,65.36,65.53,6601633.0,70507724330.0
2010-03-15,MCD,65.7,66.19,65.69,65.93,5714601.0,70938108730.0
2010-03-16,MCD,66.22,66.24,65.8,66.07,5705583.0,71088743270.0
2010-03-17,MCD,66.23,66.44,65.87,66.38,4818776.0,71422291180.0
2010-03-18,MCD,66.47,66.74,66.36,66.68,6206565.0,71745079480.0
2010-03-19,MCD,66.89,66.91,66.0,66.53,10229980.0,71583685330.0
2010-03-22,MCD,66.07,67.25,65.9,67.01,7386341.0,72100146610.0
2010-03-23,MCD,67.14,67.35,66.83,67.35,8053398.0,72465973350.0
2010-03-24,MCD,66.99,67.19,66.58,66.8,6363689.0,71874194800.0
2010-03-25,MCD,67.13,67.44,66.84,66.9,5705548.0,71981790900.0
2010-03-26,MCD,67.09,67.45,66.93,67.26,5980484.0,72369136860.0
2010-03-29,MCD,67.46,67.48,66.59,67.07,6522554.0,72164704270.0
2010-03-30,MCD,67.11,67.49,66.92,67.24,5093140.0,72347617640.0
2010-03-31,MCD,67.15,67.39,66.63,66.72,5765542.0,71788117920.0
2010-04-01,MCD,67.06,67.71,67.06,67.58,5473763.0,72713444380.0
2010-04-05,MCD,67.76,68.2,67.76,68.03,4875149.0,73197626830.0
