date,symbol,open,high,low,close,volume,mktcap
2010-01-04,MRK,36.82,37.25,36.55,37.01,13896490.0,113046156760.0
2010-01-05,MRK,37.3,37.45,36.93,37.16,14744570.0,113504328160.0
2010-01-06,MRK,37.21,37.73,36.9,37.66,15239810.0,115031566160.0
2010-01-07,MRK,37.47,37.9,37.4,37.72,11918300.0,115214834720.0
2010-01-08,MRK,37.87,37.89,37.43,37.7,10765250.0,115153745200.0
2010-01-11,MRK,37.88,37.92,37.5,37.85,9581776.0,115611916600.0
2010-01-12,MRK,37.82,37.99,37.32,37.55,10921670.0,114695573800.0
2010-01-13,MRK,38.31,39.37,38.1,38.93,25374070.0,118910750680.0
2010-01-14,MRK,39.24,40.12,39.1,39.99,22023900.0,122148495240.0
2010-01-15,MRK,39.98,40.27,39.01,39.47,20852050.0,120560167720.0
2010-01-19,MRK,39.55,40.84,39.44,40.62,19949700.0,124072815120.0
2010-01-20,MRK,40.64,41.15,39.97,41.03,20842090.0,125325150280.0
2010-01-21,MRK,41.08,41.56,40.05,40.08,25573710.0,122423398080.0
2010-01-22,MRK,39.9,40.29,38.77,38.87,17463390.0,118727482120.0
2010-01-25,MRK,39.28,39.74,38.72,38.76,15369760.0,118391489760.0
2010-01-26,MRK,38.5,38.95,38.16,38.58,19862100.0,117841684080.0
2010-01-27,MRK,38.49,38.78,37.96,38.64,17483100.0,118024952640.0
2010-01-28,MRK,38.74,38.94,37.94,37.97,13366580.0,115978453720.0
2010-01-29,MRK,38.26,39.01,37.66,38.18,16120320.0,116619893680.0
2010-02-01,MRK,38.56,38.63,38.07,38.3,9184416.0,116986430800.0
2010-02-02,MRK,38.36,39.72,38.1,39.54,15129450.0,120773981040.0
2010-02-03,MRK,39.4,39.42,38.47,38.72,17466810.0,118269310720.0
2010-02-04,MRK,38.39,38.51,36.82,37.1,25331140.0,113321059600.0
2010-02-05,MRK,37.05,37.08,35.82,36.73,22971810.0,112190903480.0
2010-02-08,MRK,36.58,37.08,36.22,36.59,10215160.0,111763276840.0
2010-02-09,MRK,36.93,37.17,36.32,36.47,17142790.0,111396739720.0
2010-02-10,MRK,36.5,36.69,35.76,36.2,16820420.0,110572031200.0
2010-02-11,MRK,36.22,37.0,35.87,36.88,14429440.0,112649074880.0
2010-02-12,MRK,36.63,37.15,36.09,36.92,17907330.0,112771253920.0
2010-02-16,MRK,37.72,38.18,37.26,37.66,20770990.0,115031566160.0
2010-02-17,MRK,37.73,37.92,37.16,37.34,11948240.0,114054133840.0
2010-02-18,MRK,37.28,37.5,37.03,37.29,12348670.0,113901410040.0
2010-02-19,MRK,37.23,37.63,37.15,37.49,12407670.0,114512305240.0
2010-02-22,MRK,37.86,37.86,36.6,37.12,17575480.0,113382149120.0
2010-02-23,MRK,36.9,37.14,36.4,36.51,15830190.0,111518918760.0
2010-02-24,MRK,36.7,37.04,36.27,36.93,17079990.0,112801798680.0
2010-02-25,MRK,36.44,36.66,36.05,36.57,17024600.0,111702187320.0
2010-02-26,MRK,36.7,37.06,36.44,36.88,13158990.0,112649074880.0
2010-03-01,MRK,37.03,37.43,37.03,37.27,11794260.0,116107864590.0
2010-03-02,MRK,37.58,37.69,37.32,37.39,12252680.0,116481702630.0
2010-03-03,MRK,37.69,37.85,37.1,37.21,12576410.0,115920945570.0
