date,symbol,open,high,low,close,volume,mktcap
2010-01-04,MSFT,30.62,31.1,30.59,30.95,38397450.0,274808794950.0
2010-01-05,MSFT,30.85,31.1,30.64,30.96,49747250.0,274897586160.0
2010-01-06,MSFT,30.88,31.08,30.52,30.77,58171620.0,273210553170.0
2010-01-07,MSFT,30.63,30.7,30.19,30.45,50559170.0,270386992692.0
2010-01-08,MSFT,30.28,30.88,30.24,30.66,51196510.0,272233849860.0
2010-01-11,MSFT,30.71,30.76,30.12,30.27,68735300.0,268770992670.0
2010-01-12,MSFT,30.15,30.4,29.91,30.07,65904720.0,266995168470.0
2010-01-13,MSFT,30.26,30.52,30.01,30.35,51633520.0,269481322350.0
2010-01-14,MSFT,30.31,31.1,30.26,30.96,63198450.0,274897586160.0
2010-01-15,MSFT,31.08,31.24,30.71,30.86,79781890.0,274009674060.0
2010-01-19,MSFT,30.75,31.24,30.68,31.1,46573240.0,276140663100.0
2010-01-20,MSFT,30.81,30.94,30.31,30.58,54837790.0,271567915785.0
2010-01-21,MSFT,30.61,30.72,30.0,30.01,73042410.0,266462421210.0
2010-01-22,MSFT,30.0,30.2,28.84,28.96,101901700.0,257139344160.0
2010-01-25,MSFT,29.24,29.66,29.1,29.32,63371810.0,260335827720.0
2010-01-26,MSFT,29.2,29.85,29.09,29.5,66626770.0,261934069500.0
2010-01-27,MSFT,29.35,29.82,29.02,29.67,63930860.0,263443520070.0
2010-01-28,MSFT,29.84,29.87,28.89,29.16,116526500.0,258915168360.0
2010-01-29,MSFT,29.9,29.92,27.66,28.18,193844100.0,247151590980.0
2010-02-01,MSFT,28.39,28.48,27.92,28.41,85751720.0,249168797010.0
2010-02-02,MSFT,28.37,28.5,28.14,28.46,54134500.0,249607320060.0
2010-02-03,MSFT,28.26,28.79,28.12,28.63,61311770.0,251098298430.0
2010-02-04,MSFT,28.38,28.5,27.81,27.84,77791530.0,244169634240.0
2010-02-05,MSFT,28.0,28.28,27.57,28.02,80799810.0,245748317220.0
2010-02-08,MSFT,28.01,28.08,27.57,27.72,52811480.0,243117178920.0
2010-02-09,MSFT,27.97,28.34,27.75,28.01,59118140.0,245660612610.0
2010-02-10,MSFT,28.03,28.24,27.84,27.99,47949340.0,245485203390.0
2010-02-11,MSFT,27.93,28.4,27.7,28.12,65977140.0,246625363320.0
2010-02-12,MSFT,27.81,28.06,27.58,27.93,77560140.0,244958975730.0
2010-02-16,MSFT,28.13,28.37,28.02,28.35,51934420.0,248642569350.0
2010-02-17,MSFT,28.53,28.65,28.36,28.59,45756190.0,250747479990.0
2010-02-18,MSFT,28.59,29.03,28.51,28.97,42811450.0,254071484709.0
2010-02-19,MSFT,28.79,28.92,28.69,28.77,44451650.0,252326162970.0
2010-02-22,MSFT,28.84,28.94,28.65,28.73,36706850.0,251975344530.0
2010-02-23,MSFT,28.68,28.83,28.09,28.33,52252160.0,248467160130.0
2010-02-24,MSFT,28.52,28.79,28.38,28.63,43155280.0,251098298430.0
2010-02-25,MSFT,28.27,28.65,28.02,28.6,48693660.0,250835184600.0
