date,symbol,open,high,low,close,volume,mktcap
2010-01-04,NKE,16.52,16.52,16.28,16.34,2990761.0,6399562125.0
2010-01-05,NKE,16.28,16.45,16.18,16.4,1568864.0,6425023275.0
2010-01-06,NKE,16.35,16.42,16.24,16.3,3349807.0,6385852275.0
2010-01-07,NKE,16.28,16.5,16.26,16.46,1796911.0,6543218175.0
2010-01-08,NKE,16.45,16.46,16.24,16.43,1812409.0,6530300660.0
2010-01-11,NKE,16.48,16.48,16.16,16.23,2666638.0,6449814605.0
2010-01-12,NKE,16.15,16.27,16.07,16.2,2870331.0,6440871710.0
2010-01-13,NKE,16.28,16.42,16.2,16.35,1410363.0,6498503700.0
2010-01-14,NKE,16.37,16.46,16.19,16.25,1826129.0,6457763845.0
2010-01-15,NKE,16.2,16.25,15.99,16.1,2818504.0,6398144545.0
2010-01-19,NKE,16.05,16.2,15.99,16.18,1861967.0,6429941505.0
2010-01-20,NKE,16.05,16.1,15.89,16.05,1998782.0,6377277790.0
2010-01-21,NKE,16.08,16.08,15.76,15.91,3495881.0,6323620420.0
2010-01-22,NKE,15.88,16.06,15.74,15.74,3326699.0,6258039190.0
2010-01-25,NKE,15.84,16.01,15.83,15.92,2685747.0,6326601385.0
2010-01-26,NKE,15.83,16.03,15.76,15.94,1677868.0,6333556970.0
2010-01-27,NKE,15.92,16.04,15.81,16.0,3388231.0,6359392000.0
2010-01-28,NKE,16.06,16.25,15.84,15.88,1789531.0,6311696560.0
2010-01-29,NKE,15.91,16.16,15.89,15.94,2600631.0,6334550625.0
2010-02-01,NKE,15.99,16.11,15.88,16.02,1597655.0,6369328550.0
2010-02-02,NKE,16.07,16.07,15.9,15.98,2383571.0,6352436415.0
2010-02-03,NKE,15.92,16.02,15.83,16.0,1971562.0,6359392000.0
2010-02-04,NKE,15.88,15.94,15.51,15.52,4477742.0,6169603895.0
2010-02-05,NKE,15.5,15.56,15.22,15.42,3275947.0,6130851350.0
2010-02-08,NKE,15.4,15.53,15.31,15.32,2042780.0,6091105150.0
2010-02-09,NKE,15.44,15.78,15.42,15.63,2357373.0,6211337405.0
2010-02-10,NKE,15.63,15.74,15.56,15.66,1924636.0,6224254920.0
2010-02-11,NKE,15.61,15.79,15.53,15.74,1752504.0,6255058225.0
2010-02-12,NKE,15.63,15.64,15.43,15.62,2788070.0,6209350095.0
2010-02-16,NKE,15.7,15.91,15.58,15.91,2405169.0,6324614075.0
2010-02-17,NKE,15.97,16.17,15.9,16.12,2644567.0,6407087440.0
2010-02-18,NKE,16.12,16.15,15.98,16.11,1614527.0,6403112820.0
2010-02-19,NKE,16.04,16.15,16.0,16.09,2374541.0,6394169925.0
2010-02-22,NKE,16.14,16.19,16.01,16.08,1716274.0,6390195305.0
2010-02-23,NKE,16.08,16.14,15.9,16.03,1934749.0,6372309515.0
2010-02-24,NKE,16.0,16.26,16.0,16.23,2900133.0,6451801915.0
2010-02-25,NKE,16.25,16.57,16.0,16.54,3991892.0,6574021480.0
2010-02-26,NKE,16.56,16.96,16.56,16.9,4908332.0,6717107800.0
2010-03-01,NKE,16.98,17.18,16.9,17.06,2668548.0,6780701720.0
2010-03-02,NKE,17.02,17.08,16.92,17.01,2461281.0,6759834965.0
2010-03-03,NKE,16.92,16.99,16.82,16.91,2167077.0,6721082420.0
2010-03-04,NKE,17.0,17.02,16.86,16.91,1576609.0,6720088765.0
2010-03-05,NKE,16.96,17.13,16.96,17.08,1865092.0,6788650960.0
2010-03-08,NKE,16.99,17.24,16.99,17.2,1771080.0,6838333710.0
2010-03-09,NKE,17.19,17.3,17.13,17.23,1510664.0,6849263915.0
2010-03-10,NKE,17.23,17.31,17.1,17.28,1398247.0,6868143360.0
2010-03-11,NKE,17.27,17.46,17.18,17.44,1739356.0,6930743625.0
2010-03-12,NKE,17.36,17.5,17.35,17.48,1802088.0,6945648450.0
