date,symbol,open,high,low,close,volume,mktcap
2010-01-04,PG,61.11,61.31,60.63,61.12,9033530.0,178576382080.0
2010-01-05,PG,61.13,61.28,60.6,61.14,8640255.0,178634816760.0
2010-01-06,PG,60.94,60.96,60.5,60.85,9807725.0,177787513900.0
2010-01-07,PG,60.58,60.7,60.24,60.52,8644606.0,176823341680.0
2010-01-08,PG,60.36,60.53,60.06,60.44,8415801.0,176589602960.0
2010-01-11,PG,60.08,60.27,59.01,60.2,14532380.0,175888386800.0
2010-01-12,PG,60.7,61.36,60.5,60.89,13083490.0,177904383260.0
2010-01-13,PG,61.04,61.79,60.91,61.52,16757990.0,179745075680.0
2010-01-14,PG,61.42,61.74,61.38,61.58,9112773.0,179920379720.0
2010-01-15,PG,61.6,61.86,60.44,60.82,15768270.0,177699861880.0
2010-01-19,PG,60.8,61.83,60.8,61.72,10542030.0,180329422480.0
2010-01-20,PG,60.97,61.04,60.1,60.45,11529120.0,176618820300.0
2010-01-21,PG,60.56,60.93,59.45,59.84,14284960.0,174836562560.0
2010-01-22,PG,59.75,60.69,59.22,60.31,17690060.0,176209777540.0
2010-01-25,PG,60.83,60.98,60.15,60.63,11630720.0,177144732420.0
2010-01-26,PG,60.17,60.95,60.0,60.69,13073630.0,177320036460.0
2010-01-27,PG,60.46,60.98,59.95,60.81,15228310.0,177670644540.0
2010-01-28,PG,61.67,63.31,61.58,61.68,26904610.0,179155296240.0
2010-01-29,PG,61.91,62.24,61.47,61.55,17060750.0,178777699150.0
2010-02-01,PG,61.85,62.24,61.51,61.99,12886390.0,180055720070.0
2010-02-02,PG,61.93,63.04,61.66,62.9,17639250.0,182698899700.0
2010-02-03,PG,62.74,62.86,62.36,62.65,11069820.0,181972751450.0
2010-02-04,PG,62.2,62.34,61.31,61.4,14248540.0,178342010200.0
2010-02-05,PG,61.09,61.44,60.43,61.3,14830780.0,178051550900.0
2010-02-08,PG,61.06,61.51,60.81,61.01,11426210.0,177209218930.0
2010-02-09,PG,61.38,62.0,61.01,61.76,11427100.0,179387663680.0
2010-02-10,PG,61.74,61.85,61.22,61.67,9854584.0,179126250310.0
2010-02-11,PG,61.42,62.16,61.27,61.96,10367880.0,179968582280.0
2010-02-12,PG,61.76,62.13,61.29,61.76,16184420.0,179387663680.0
2010-02-16,PG,62.6,62.87,62.35,62.83,13252100.0,182495578190.0
2010-02-17,PG,62.8,62.97,62.51,62.85,14384370.0,182553670050.0
2010-02-18,PG,62.73,63.5,62.35,63.39,17686930.0,184122150270.0
2010-02-19,PG,63.27,63.74,63.02,63.45,10897750.0,184296425850.0
2010-02-22,PG,63.69,63.88,63.3,63.42,9669515.0,184209288060.0
2010-02-23,PG,63.23,63.82,62.92,63.21,11948500.0,183599323530.0
2010-02-24,PG,63.22,63.96,63.13,63.89,12799520.0,185574446770.0
2010-02-25,PG,63.23,63.86,63.01,63.7,10085550.0,185022574100.0
2010-02-26,PG,63.75,63.88,63.14,63.28,10640840.0,183802645040.0
2010-03-01,PG,63.46,63.8,63.15,63.51,7743285.0,184470701430.0
2010-03-02,PG,63.72,63.87,63.34,63.71,8004002.0,185051620030.0
2010-03-03,PG,63.66,63.9,63.43,63.55,8452469.0,184586885150.0
2010-03-04,PG,63.65,64.15,63.41,63.67,8600247.0,184935436310.0
2010-03-05,PG,63.69,63.78,63.05,63.69,10101050.0,184993528170.0
2010-03-08,PG,63.55,63.67,63.03,63.19,11293280.0,183541231670.0
2010-03-09,PG,63.08,63.5,63.05,63.3,7100840.0,183860736900.0
2010-03-10,PG,63.23,63.29,62.86,63.01,9813148.0,183018404930.0
2010-03-11,PG,62.76,63.18,62.51,63.17,10052930.0,183483139810.0
2010-03-12,PG,63.33,63.55,63.06,63.32,8098916.0,183918828760.0
