date,symbol,open,high,low,close,volume,mktcap
2010-01-04,UNH,31.38,31.6,30.97,31.53,12199430.0,36638396010.0
2010-01-05,UNH,31.73,31.97,31.28,31.48,11141690.0,36580295160.0
2010-01-06,UNH,31.6,32.06,31.41,31.79,9761055.0,36940520430.0
2010-01-07,UNH,31.59,33.05,31.59,33.01,11689970.0,38358181170.0
2010-01-08,UNH,32.86,32.92,32.34,32.7,7228608.0,37997955900.0
2010-01-11,UNH,32.71,33.13,32.7,32.92,7191459.0,38253599640.0
2010-01-12,UNH,32.7,32.91,31.54,32.05,13073690.0,37242644850.0
2010-01-13,UNH,31.99,32.55,31.68,32.54,8756215.0,37812033180.0
2010-01-14,UNH,32.68,33.33,32.33,33.32,8774575.0,38718406440.0
2010-01-15,UNH,33.54,33.99,33.1,33.75,19381310.0,39218073750.0
2010-01-19,UNH,34.56,35.9,34.5,35.13,26397960.0,40821657210.0
2010-01-20,UNH,35.94,36.07,34.29,34.55,26407000.0,40147687350.0
2010-01-21,UNH,35.43,35.69,33.0,33.1,29166560.0,38462762700.0
2010-01-22,UNH,33.82,34.11,33.1,33.16,21020990.0,38532483720.0
2010-01-25,UNH,33.56,33.72,32.96,33.0,10925760.0,38346561000.0
2010-01-26,UNH,32.51,32.91,32.44,32.44,11040710.0,37695831480.0
2010-01-27,UNH,32.34,33.53,32.11,33.24,14387080.0,38625445080.0
2010-01-28,UNH,33.33,34.09,33.04,33.43,16716590.0,38846228310.0
2010-01-29,UNH,33.42,33.8,32.96,33.0,11918330.0,38346561000.0
2010-02-01,UNH,33.03,33.41,32.22,33.13,13686650.0,38497623210.0
2010-02-02,UNH,33.14,34.12,32.93,34.05,12078820.0,39566678850.0
2010-02-03,UNH,34.05,34.05,32.82,33.32,8384553.0,38718406440.0
2010-02-04,UNH,33.24,33.24,32.39,32.46,10609660.0,37719071820.0
2010-02-05,UNH,32.42,32.63,31.84,32.54,12666000.0,37812033180.0
2010-02-08,UNH,32.23,32.95,32.23,32.41,9525614.0,37660970970.0
2010-02-09,UNH,32.72,33.06,32.0,33.0,11236470.0,38346561000.0
2010-02-10,UNH,33.0,33.17,32.3,32.71,10755120.0,38009576070.0
2010-02-11,UNH,32.71,33.2,32.44,33.12,7857311.0,38337492960.0
2010-02-12,UNH,32.78,32.85,32.03,32.18,11688630.0,37249411940.0
2010-02-16,UNH,32.33,32.6,31.39,31.63,13934180.0,36612768790.0
2010-02-17,UNH,31.68,33.21,31.68,32.55,11689550.0,37677699150.0
2010-02-18,UNH,32.23,32.99,32.12,32.69,10323430.0,37839753770.0
2010-02-19,UNH,32.42,32.77,31.83,31.94,11503150.0,36971604020.0
2010-02-22,UNH,32.11,33.12,31.88,33.08,16338290.0,38291191640.0
2010-02-23,UNH,32.87,33.17,32.35,32.81,10746500.0,37978657730.0
2010-02-24,UNH,32.88,33.66,32.36,33.62,10982540.0,38916259460.0
2010-02-25,UNH,33.32,33.98,32.84,33.45,14779430.0,38719478850.0
2010-02-26,UNH,33.52,34.3,33.36,33.86,9684668.0,39194067380.0
2010-03-01,UNH,34.0,34.72,33.52,34.04,10970710.0,39402423320.0
2010-03-02,UNH,34.11,34.37,33.61,33.95,7081456.0,39298245350.0
2010-03-03,UNH,34.05,34.35,33.77,34.1,8038753.0,39471875300.0
2010-03-04,UNH,34.05,34.1,32.42,32.95,17386580.0,38140712350.0
2010-03-05,UNH,33.03,33.79,32.96,33.74,8133003.0,39055163420.0
2010-03-08,UNH,33.74,33.84,33.03,33.1,7734721.0,38314342300.0
2010-03-09,UNH,33.18,33.45,33.07,33.08,8771091.0,38291191640.0
2010-03-10,UNH,33.02,33.55,32.94,33.24,7418967.0,38476396920.0
2010-03-11,UNH,33.09,33.56,32.94,33.5,14678060.0,38777355500.0
2010-03-12,UNH,33.68,33.74,32.78,32.91,9450317.0,38094411030.0
2010-03-15,UNH,32.78,32.78,31.93,32.53,13519940.0,37654548490.0
2010-03-16,UNH,32.15,33.11,32.09,33.05,12931190.0,38256465650.0
2010-03-17,UNH,33.16,33.16,32.26,32.75,10614380.0,37909205750.0
2010-03-18,UNH,32.46,33.69,31.98,33.59,15407120.0,38881533470.0
2010-03-19,UNH,33.72,34.7,33.72,34.39,21819170.0,39807559870.0
2010-03-22,UNH,34.47,35.16,33.21,33.3,20218640.0,38545848900.0
2010-03-23,UNH,33.36,33.46,32.96,33.16,11409450.0,38383794280.0
2010-03-24,UNH,33.14,33.34,32.72,32.72,10825790.0,37874479760.0
2010-03-25,UNH,32.76,33.26,32.6,33.12,14785410.0,38337492960.0
2010-03-26,UNH,33.1,33.27,32.6,32.63,8744211.0,37770301790.0
2010-03-29,UNH,32.66,33.02,32.52,32.84,7967139.0,38013383720.0
2010-03-30,UNH,32.79,33.29,32.6,33.06,7253089.0,38268040980.0
2010-03-31,UNH,32.9,33.11,32.5,32.67,6961543.0,37816603110.0
2010-04-01,UNH,32.8,32.99,32.52,32.99,6713391.0,38187013670.0
2010-04-05,UNH,33.12,33.22,32.77,33.14,6715173.0,38360643620.0
2010-04-06,UNH,33.27,34.0,33.25,33.41,9430860.0,38673177530.0
2010-04-07,UNH,33.53,33.53,32.74,32.93,8395831.0,38117561690.0
