date,symbol,open,high,low,close,volume,mktcap
2010-01-04,UTX,70.21,71.86,69.86,71.63,6104078.0,67155918570.0
2010-01-05,UTX,71.64,71.64,70.28,70.56,5004145.0,66152751840.0
2010-01-06,UTX,70.56,70.83,70.03,70.19,4726859.0,65805862410.0
2010-01-07,UTX,70.01,70.62,69.57,70.49,4264850.0,66087124110.0
2010-01-08,UTX,70.26,70.7,70.25,70.63,4654756.0,66218379570.0
2010-01-11,UTX,70.73,72.26,70.73,72.16,5529998.0,67652814240.0
2010-01-12,UTX,71.8,71.95,71.06,71.74,4671786.0,67259047860.0
2010-01-13,UTX,71.82,72.66,71.79,72.56,4877064.0,68027829840.0
2010-01-14,UTX,72.24,72.85,72.12,72.81,3551212.0,68262214590.0
2010-01-15,UTX,72.83,72.93,71.68,71.99,5343245.0,67493432610.0
2010-01-19,UTX,71.99,72.94,71.64,72.29,3680613.0,67774694310.0
2010-01-20,UTX,72.01,72.24,70.63,71.43,3673173.0,66968410770.0
2010-01-21,UTX,71.45,71.85,69.75,70.13,5111225.0,65749610070.0
2010-01-22,UTX,69.87,70.29,69.0,69.08,5813947.0,64765194120.0
2010-01-25,UTX,69.51,69.51,68.56,68.59,4999387.0,64305800010.0
2010-01-26,UTX,68.0,68.86,67.8,68.47,4996256.0,64193295330.0
2010-01-27,UTX,67.26,67.85,66.5,67.61,7690664.0,63387011790.0
2010-01-28,UTX,67.69,67.83,66.55,67.37,5578633.0,63162002430.0
2010-01-29,UTX,67.39,68.49,66.64,67.48,7232057.0,63265131720.0
2010-02-01,UTX,67.76,67.97,67.2,67.55,4898991.0,63330759450.0
2010-02-02,UTX,67.89,68.43,67.69,68.03,6129221.0,63780778170.0
2010-02-03,UTX,67.82,68.43,67.7,68.24,4150885.0,63977661360.0
2010-02-04,UTX,67.87,67.95,66.34,66.38,5983103.0,62233838820.0
2010-02-05,UTX,66.38,67.0,65.05,66.5,7825287.0,62346343500.0
2010-02-08,UTX,66.28,66.33,65.31,65.4,5260361.0,61315050600.0
2010-02-09,UTX,66.2,67.11,65.71,66.52,5277448.0,62365094280.0
2010-02-10,UTX,66.52,66.93,66.11,66.64,4933051.0,62477598960.0
2010-02-11,UTX,66.36,66.85,65.86,66.71,5504100.0,62533954000.0
2010-02-12,UTX,65.9,66.26,65.01,65.69,7957297.0,61577806000.0
