date,symbol,open,high,low,close,volume,mktcap
2010-01-04,V,22.0,22.19,21.86,22.04,5044944.0,10334260755.0
2010-01-05,V,21.82,21.88,21.5,21.78,6458354.0,10215840022.5
2010-01-06,V,21.75,21.77,21.48,21.49,4063342.0,10078659570.0
2010-01-07,V,21.49,21.75,21.39,21.69,6960511.0,10172458170.0
2010-01-08,V,21.7,21.85,21.56,21.75,2976708.0,10200597750.0
2010-01-11,V,21.88,21.98,21.54,21.69,3227860.0,10171285687.5
2010-01-12,V,21.64,21.76,21.46,21.58,3210142.0,10123213905.0
2010-01-13,V,21.62,21.8,21.49,21.78,3357106.0,10217012505.0
2010-01-14,V,21.74,21.88,21.62,21.86,4594898.0,10252186980.0
2010-01-15,V,21.87,21.88,21.48,21.54,5323707.0,10099764255.0
2010-01-19,V,21.54,22.1,21.42,21.96,3809855.0,10300258762.5
2010-01-20,V,21.92,21.94,21.58,21.86,3192785.0,10249842015.0
2010-01-21,V,21.86,21.98,21.03,21.11,7028868.0,9901614712.5
2010-01-22,V,21.01,21.1,20.41,20.68,7443194.0,9699947722.5
2010-01-25,V,20.85,20.95,20.35,20.51,4036340.0,9617873947.5
2010-01-26,V,20.34,20.64,20.25,20.29,3109140.0,9514695487.5
2010-01-27,V,20.22,21.03,20.15,20.98,4833761.0,9838300657.5
2010-01-28,V,21.09,21.12,20.35,20.66,3267639.0,9690567862.5
2010-01-29,V,20.65,21.24,20.47,20.51,5070343.0,9617873947.5
2010-02-01,V,20.57,21.19,20.55,20.92,4024231.0,9808988595.0
2010-02-02,V,21.06,21.12,20.88,21.0,3609758.0,9850025482.5
2010-02-03,V,21.06,21.12,20.52,20.88,7925252.0,9792573840.0
2010-02-04,V,21.31,21.54,20.7,20.76,16618400.0,9743446762.5
2010-02-05,V,20.83,20.96,20.14,20.64,9671400.0,9685959840.0
2010-02-08,V,20.72,21.1,20.64,20.76,5989164.0,9743446762.5
2010-02-09,V,20.92,21.03,20.68,20.82,4491945.0,9769257217.5
2010-02-10,V,20.87,20.98,20.72,20.91,3643171.0,9812665710.0
2010-02-11,V,20.95,21.3,20.81,21.28,4511185.0,9988646085.0
2010-02-12,V,21.12,21.24,20.91,21.2,5528411.0,9946410795.0
2010-02-16,V,21.31,21.48,21.3,21.47,4016069.0,10075463070.0
2010-02-17,V,21.5,21.64,21.44,21.6,3744108.0,10138816005.0
2010-02-18,V,21.5,21.86,21.5,21.74,3816231.0,10202168940.0
2010-02-19,V,21.5,21.74,21.37,21.7,3417960.0,10184570902.5
2010-02-22,V,21.76,21.94,21.7,21.73,2893126.0,10196302927.5
2010-02-23,V,21.76,21.9,21.52,21.53,4782104.0,10103619930.0
2010-02-24,V,21.56,21.65,21.19,21.41,4052438.0,10046133007.5
2010-02-25,V,21.19,21.36,20.94,21.31,3535167.0,9999204907.5
2010-02-26,V,21.4,21.43,21.26,21.32,3119095.0,10005070920.0
2010-03-01,V,21.38,21.74,21.32,21.7,3373456.0,10185744105.0
2010-03-02,V,21.7,21.74,21.56,21.61,3225252.0,10142335612.5
2010-03-03,V,21.65,21.8,21.56,21.7,3411412.0,10183397700.0
2010-03-04,V,21.75,21.86,21.53,21.76,3644139.0,10211554560.0
2010-03-05,V,21.85,22.14,21.78,22.13,4875238.0,10384015327.5
2010-03-08,V,22.11,22.73,22.02,22.66,7814590.0,10632734257.5
2010-03-09,V,22.56,22.92,22.46,22.54,9172601.0,10576420537.5
2010-03-10,V,22.44,22.95,22.39,22.88,7109101.0,10737149280.0
2010-03-11,V,22.74,23.32,22.7,23.18,13784390.0,10880279985.0
2010-03-12,V,23.29,23.41,23.16,23.31,7160205.0,10940113312.5
2010-03-15,V,23.22,23.29,22.78,23.1,5182765.0,10841564302.5
2010-03-16,V,23.17,23.23,22.84,22.91,4766976.0,10752400912.5
2010-03-17,V,23.03,23.1,22.81,22.88,3696266.0,10735976077.5
2010-03-18,V,22.88,22.96,22.52,22.53,4690161.0,10574074132.5
2010-03-19,V,22.63,22.69,22.17,22.21,6053189.0,10422731010.0
2010-03-22,V,22.1,22.44,22.04,22.31,4168216.0,10469659110.0
2010-03-23,V,22.38,22.58,22.31,22.5,3379021.0,10556476095.0
2010-03-24,V,22.4,22.48,22.15,22.19,3901987.0,10412172187.5
2010-03-25,V,22.42,22.94,22.37,22.6,5088331.0,10606923802.5
2010-03-26,V,22.68,22.81,22.41,22.56,3383787.0,10588152562.5
2010-03-29,V,22.64,22.79,22.54,22.56,2783540.0,10586979360.0
2010-03-30,V,22.62,22.96,22.58,22.75,4082671.0,10676142750.0
2010-03-31,V,22.68,23.05,22.63,22.76,3126026.0,10679662357.5
2010-04-01,V,22.92,23.14,22.83,23.14,4366088.0,10857989137.5
2010-04-05,V,23.26,23.3,23.02,23.12,3840569.0,10848603517.5
2010-04-06,V,23.01,23.33,22.95,23.1,3453314.0,10840391100.0
2010-04-07,V,23.12,23.12,22.66,22.68,3687598.0,10642119877.5
2010-04-08,V,22.66,23.02,22.62,22.87,2661323.0,10733629672.5
2010-04-09,V,22.98,23.15,22.91,23.13,2388875.0,10854469530.0
2010-04-12,V,23.26,23.37,23.12,23.3,2330786.0,10933074097.5
2010-04-13,V,23.35,23.45,23.04,23.2,2858646.0,10886145997.5
2010-04-14,V,23.29,23.61,23.22,23.56,4332052.0,11058606765.0
2010-04-15,V,23.59,23.82,23.48,23.61,5159435.0,11080897612.5
2010-04-16,V,23.52,23.73,23.2,23.46,4687699.0,11010505462.5
2010-04-19,V,23.3,23.54,23.02,23.28,3146305.0,10924861680.0
2010-04-20,V,23.41,23.52,23.12,23.51,2272021.0,11033969512.5
2010-04-21,V,23.59,23.6,23.22,23.28,2841266.0,10926034882.5
2010-04-22,V,23.2,23.8,23.12,23.78,3663900.0,11161848585.0
2010-04-23,V,24.05,24.2,23.81,24.15,3123670.0,11331962947.5
2010-04-26,V,24.26,24.3,23.88,24.0,4568508.0,11262744000.0
2010-04-27,V,23.99,24.06,23.22,23.24,4465276.0,10904917237.5
2010-04-28,V,23.43,23.52,23.08,23.4,5089248.0,10982348602.5
2010-04-29,V,23.44,23.65,23.03,23.2,7351837.0,10889665605.0
2010-04-30,V,23.32,23.34,22.5,22.56,6264901.0,11143405000.0
2010-05-03,V,22.64,22.82,22.1,22.32,7754587.0,11047028595.0
2010-05-04,V,22.34,22.74,22.03,22.09,7655616.0,10935654945.0
2010-05-05,V,21.69,21.99,21.0,21.61,9295684.0,10695582855.0
2010-05-06,V,21.46,21.64,18.98,20.73,15984410.0,10261225620.0
2010-05-07,V,20.76,21.04,20.19,20.57,11378920.0,10183264065.0
2010-05-10,V,21.56,21.8,21.48,21.5,8775910.0,10641133515.0
2010-05-11,V,21.28,21.31,20.78,21.04,11810850.0,10414673760.0
2010-05-12,V,21.26,21.89,21.19,21.42,9282607.0,10602771480.0
2010-05-13,V,21.47,22.0,21.13,21.43,7936049.0,10608958905.0
2010-05-14,V,19.67,19.97,18.98,19.32,42455940.0,9560809110.0
2010-05-17,V,19.69,19.81,18.42,18.68,22636540.0,9245250435.0
2010-05-18,V,18.77,19.0,17.07,17.52,46433390.0,8673532365.0
2010-05-19,V,17.68,18.55,17.68,18.24,32901860.0,9029928045.0
2010-05-20,V,18.0,18.86,17.78,18.2,25301280.0,9011365770.0
2010-05-21,V,18.0,19.0,18.0,18.55,19899240.0,9182138700.0
2010-05-24,V,18.86,19.05,18.44,18.64,10286630.0,9225450675.0
2010-05-25,V,18.26,18.46,17.94,18.24,11359210.0,9029928045.0
2010-05-26,V,18.54,18.8,18.34,18.35,11099510.0,9083139900.0
2010-05-27,V,18.75,18.8,18.23,18.42,9772679.0,9119026965.0
2010-05-28,V,18.34,18.38,18.0,18.11,6645039.0,8966816310.0
