date,symbol,open,high,low,close,volume,mktcap
2010-01-04,VZ,33.4,33.45,33.09,33.28,15171430.0,94536765440.0
2010-01-05,VZ,33.37,33.4,32.78,33.34,22247740.0,94707204320.0
2010-01-06,VZ,32.64,32.74,31.8,31.92,35172000.0,90673484160.0
2010-01-07,VZ,32.1,32.1,31.53,31.73,23925420.0,90133761040.0
2010-01-08,VZ,31.66,31.78,31.42,31.75,19369090.0,90190574000.0
2010-01-11,VZ,31.97,31.97,31.42,31.88,20609770.0,90559858240.0
2010-01-12,VZ,31.78,31.92,31.69,31.91,13511460.0,90645077680.0
2010-01-13,VZ,31.95,32.04,31.66,31.87,16041610.0,90531451760.0
2010-01-14,VZ,31.82,31.87,31.2,31.22,21607690.0,88685030560.0
2010-01-15,VZ,31.2,31.32,30.45,30.58,43744540.0,86867015840.0
2010-01-19,VZ,30.74,31.32,30.65,31.23,22447190.0,88713437040.0
2010-01-20,VZ,31.23,31.34,30.6,30.71,28358710.0,87236300080.0
2010-01-21,VZ,30.79,30.97,30.26,30.63,22106740.0,87009048240.0
2010-01-22,VZ,30.57,30.93,30.3,30.34,22719660.0,86185260320.0
2010-01-25,VZ,30.8,31.06,30.27,30.68,19789310.0,87151080640.0
2010-01-26,VZ,30.4,30.53,29.75,30.17,35434080.0,85702350160.0
2010-01-27,VZ,29.99,30.2,29.5,29.87,32792360.0,84711320000.0
2010-01-28,VZ,29.83,30.2,29.13,29.33,33442010.0,83179880000.0
2010-01-29,VZ,29.45,29.76,29.21,29.42,25403340.0,83435120000.0
2010-02-01,VZ,29.82,29.85,29.35,29.61,17013090.0,83973960000.0
2010-02-02,VZ,29.56,29.88,29.48,29.73,16511060.0,84314280000.0
2010-02-03,VZ,29.74,29.82,29.02,29.19,33582020.0,82782840000.0
2010-02-04,VZ,28.98,29.04,28.62,28.63,26972580.0,81194680000.0
2010-02-05,VZ,28.63,28.76,28.31,28.74,23512390.0,81506640000.0
2010-02-08,VZ,28.79,28.82,28.37,28.37,16602130.0,80457320000.0
2010-02-09,VZ,28.7,29.08,28.69,28.75,23966310.0,81535000000.0
2010-02-10,VZ,28.79,29.02,28.55,28.87,15148210.0,81875320000.0
2010-02-11,VZ,28.86,29.2,28.68,29.04,15001240.0,82357440000.0
2010-02-12,VZ,28.92,29.02,28.71,28.93,14219830.0,82045480000.0
2010-02-16,VZ,29.21,29.24,29.04,29.18,11678500.0,82754480000.0
2010-02-17,VZ,29.26,29.4,29.03,29.14,13408330.0,82641040000.0
2010-02-18,VZ,29.14,29.26,28.94,29.15,11190860.0,82669400000.0
2010-02-19,VZ,29.02,29.28,28.91,29.02,18479920.0,82300720000.0
2010-02-22,VZ,29.06,29.13,28.9,29.0,13731120.0,82244000000.0
2010-02-23,VZ,28.92,28.95,28.7,28.74,14736120.0,81506640000.0
2010-02-24,VZ,28.77,29.0,28.71,28.96,12445230.0,82246400000.0
2010-02-25,VZ,28.77,28.97,28.6,28.88,15837880.0,82019200000.0
2010-02-26,VZ,28.93,29.01,28.76,28.93,12739090.0,82161200000.0
2010-03-01,VZ,28.97,29.1,28.85,28.99,16195700.0,82207725730.0
2010-03-02,VZ,29.05,29.28,28.9,29.26,17351740.0,82973372020.0
2010-03-03,VZ,29.32,29.34,29.03,29.13,13348300.0,82604727510.0
2010-03-04,VZ,29.22,29.42,29.1,29.27,13103220.0,83001729290.0
2010-03-05,VZ,29.29,29.35,29.11,29.23,18726160.0,82888300210.0
2010-03-08,VZ,29.3,29.72,29.2,29.63,16030060.0,84022591010.0
2010-03-09,VZ,29.61,30.04,29.57,29.91,19995090.0,84816594570.0
2010-03-10,VZ,29.99,30.04,29.62,29.75,18155840.0,84362878250.0
2010-03-11,VZ,29.74,29.85,29.6,29.84,10982450.0,84618093680.0
2010-03-12,VZ,29.93,29.93,29.63,29.73,11297890.0,84306163710.0
2010-03-15,VZ,29.7,29.86,29.6,29.86,12596240.0,84674808220.0
2010-03-16,VZ,29.95,30.0,29.77,29.93,12871540.0,84873309110.0
2010-03-17,VZ,29.95,30.25,29.95,30.15,24431130.0,85497169050.0
2010-03-18,VZ,30.17,30.38,30.15,30.3,11126560.0,85922528100.0
2010-03-19,VZ,30.45,30.54,30.25,30.41,19882010.0,86234458070.0
2010-03-22,VZ,30.28,30.72,30.28,30.65,12744920.0,86915032550.0
2010-03-23,VZ,30.7,30.98,30.6,30.98,14424780.0,87983200000.0
2010-03-24,VZ,30.9,30.95,30.4,30.46,15006070.0,86506400000.0
2010-03-25,VZ,30.67,30.68,30.27,30.31,13520300.0,86080400000.0
2010-03-26,VZ,30.36,30.45,30.17,30.37,12124820.0,86250800000.0
2010-03-29,VZ,30.58,30.6,30.36,30.45,13610900.0,86478000000.0
2010-03-30,VZ,31.11,31.5,31.02,31.23,44267280.0,88693200000.0
2010-03-31,VZ,31.21,31.23,30.89,31.02,21433080.0,88096800000.0
2010-04-01,VZ,31.25,31.44,31.13,31.28,17211140.0,88835200000.0
2010-04-05,VZ,31.71,31.71,31.29,31.46,17673990.0,89346400000.0
2010-04-06,VZ,31.36,31.36,31.12,31.2,20995850.0,88608000000.0
2010-04-07,VZ,30.78,30.78,30.09,30.24,27201510.0,85881600000.0
2010-04-08,VZ,30.15,30.28,29.86,30.16,29596180.0,85654400000.0
2010-04-09,VZ,30.19,30.24,29.93,30.08,19708030.0,85427200000.0
2010-04-12,VZ,30.05,30.2,29.9,29.94,18412940.0,85029600000.0
2010-04-13,VZ,30.0,30.15,29.76,30.07,19003670.0,85398800000.0
2010-04-14,VZ,30.05,30.05,29.65,29.85,41449670.0,84774000000.0
2010-04-15,VZ,29.84,29.84,29.5,29.54,27053560.0,83893600000.0
2010-04-16,VZ,29.49,29.78,29.48,29.58,24650530.0,84007200000.0
2010-04-19,VZ,29.5,29.76,29.45,29.73,17798480.0,84433200000.0
2010-04-20,VZ,29.79,29.83,29.54,29.76,14934140.0,84518400000.0
2010-04-21,VZ,29.79,29.83,29.43,29.56,22584940.0,83950400000.0
2010-04-22,VZ,29.12,29.35,28.91,29.28,24897390.0,83155200000.0
2010-04-23,VZ,29.07,29.07,28.82,29.05,24440790.0,82124350000.0
2010-04-26,VZ,28.98,29.1,28.84,28.94,16345260.0,81813380000.0
2010-04-27,VZ,28.89,28.95,28.6,28.75,24945890.0,81276250000.0
2010-04-28,VZ,28.85,29.25,28.72,29.12,26601100.0,82322240000.0
2010-04-29,VZ,29.22,29.32,29.12,29.22,14873800.0,82597109040.0
2010-04-30,VZ,29.2,29.31,28.89,28.9,21916030.0,81692554800.0
2010-05-03,VZ,29.16,29.44,29.11,29.29,14574670.0,82794980280.0
2010-05-04,VZ,29.14,29.16,28.53,28.75,34489060.0,81268545000.0
2010-05-05,VZ,28.64,28.93,28.58,28.68,16273540.0,81070673760.0
2010-05-06,VZ,28.61,28.72,26.49,28.01,39476130.0,79176763320.0
2010-05-07,VZ,27.98,28.7,27.8,28.19,36476320.0,79685575080.0
2010-05-10,VZ,28.93,29.0,28.28,28.61,25945020.0,80872802520.0
2010-05-11,VZ,28.46,28.65,28.25,28.4,23229930.0,80279188800.0
2010-05-12,VZ,28.55,28.78,28.45,28.7,19403570.0,81127208400.0
2010-05-13,VZ,28.69,28.96,28.54,28.69,13276910.0,81098941080.0
2010-05-14,VZ,28.59,28.85,28.35,28.51,23065290.0,80590129320.0
2010-05-17,VZ,28.48,28.71,28.31,28.66,20895870.0,81014139120.0
2010-05-18,VZ,28.7,29.01,28.38,28.42,21461330.0,80335723440.0
2010-05-19,VZ,28.31,28.62,28.29,28.51,23886010.0,80590129320.0
2010-05-20,VZ,28.28,28.28,27.75,27.76,29518790.0,78470080320.0
2010-05-21,VZ,27.37,27.98,27.32,27.96,34898420.0,79035426720.0
2010-05-24,VZ,27.77,27.82,27.39,27.49,19312720.0,77706862680.0
2010-05-25,VZ,27.09,27.46,26.8,27.4,23243810.0,77452456800.0
2010-05-26,VZ,27.51,27.51,26.8,26.93,28171780.0,76123892760.0
2010-05-27,VZ,27.22,27.59,27.01,27.58,17531800.0,77961268560.0
2010-05-28,VZ,27.6,27.67,27.19,27.52,18301850.0,77791664640.0
2010-06-01,VZ,27.3,27.73,27.21,27.21,14430500.0,76915377720.0
2010-06-02,VZ,27.25,27.6,27.09,27.59,17792310.0,77989535880.0
2010-06-03,VZ,27.67,27.79,27.47,27.64,15907770.0,78130872480.0
2010-06-04,VZ,27.38,27.45,27.11,27.21,20987100.0,76915377720.0
2010-06-07,VZ,27.27,27.37,27.08,27.08,16482590.0,76547902560.0
2010-06-08,VZ,27.12,27.73,27.06,27.68,20218380.0,78243941760.0
2010-06-09,VZ,27.69,28.04,27.61,27.78,18452430.0,78526614960.0
2010-06-10,VZ,28.07,28.42,28.05,28.34,16619910.0,80109584880.0
2010-06-11,VZ,28.16,28.56,28.0,28.56,16901800.0,80731465920.0
2010-06-14,VZ,28.76,28.87,28.58,28.63,14996360.0,80929337160.0
2010-06-15,VZ,28.84,29.13,28.71,29.11,19278450.0,82286168520.0
2010-06-16,VZ,29.06,29.21,28.98,29.18,19426510.0,82484039760.0
2010-06-17,VZ,29.21,29.32,28.68,29.09,21050460.0,82229633880.0
2010-06-18,VZ,29.15,29.3,29.06,29.13,18298510.0,82342703160.0
2010-06-21,VZ,29.4,29.45,28.95,29.06,12538260.0,82144831920.0
2010-06-22,VZ,29.11,29.38,29.01,29.06,14829310.0,82144831920.0
2010-06-23,VZ,29.2,29.47,29.14,29.33,18647230.0,82908049560.0
2010-06-24,VZ,29.26,29.43,28.87,28.96,15391550.0,81862158720.0
