date,symbol,open,high,low,close,volume,mktcap
2010-01-04,WBA,37.01,37.3,36.64,37.3,8170924.0,36844417800.0
2010-01-05,WBA,37.1,37.16,36.62,37.0,10843190.0,36548082000.0
2010-01-06,WBA,36.16,37.29,35.92,36.72,8945309.0,36175589280.0
2010-01-07,WBA,36.69,37.0,36.47,36.94,5041221.0,36392327560.0
2010-01-08,WBA,36.92,37.07,36.65,36.99,6139711.0,36441586260.0
2010-01-11,WBA,37.0,37.14,36.9,37.05,4947446.0,36500696700.0
2010-01-12,WBA,36.84,36.97,36.6,36.74,4646079.0,36195292760.0
2010-01-13,WBA,36.65,37.16,36.6,37.08,4526541.0,36530251920.0
2010-01-14,WBA,37.16,37.25,36.88,37.11,5686495.0,36559807140.0
2010-01-15,WBA,36.93,37.05,36.46,36.6,8691701.0,36057368400.0
2010-01-19,WBA,36.62,36.87,36.36,36.74,5621610.0,36195292760.0
2010-01-20,WBA,36.6,37.05,36.51,36.95,5938775.0,36402179300.0
2010-01-21,WBA,37.15,37.27,36.22,36.45,7951637.0,35909592300.0
2010-01-22,WBA,36.31,36.8,35.97,35.99,6976385.0,35456412260.0
2010-01-25,WBA,36.22,36.86,35.98,36.67,6137989.0,36126330580.0
2010-01-26,WBA,36.55,36.7,36.11,36.17,6565410.0,35633743580.0
2010-01-27,WBA,36.15,36.83,36.1,36.7,6706449.0,36155885800.0
2010-01-28,WBA,36.75,37.0,36.37,36.4,5611071.0,35860333600.0
2010-01-29,WBA,36.52,37.06,36.0,36.05,8441864.0,35515522700.0
2010-02-01,WBA,36.29,36.41,36.01,36.38,6047147.0,35840630120.0
2010-02-02,WBA,36.35,36.84,36.22,36.78,7675534.0,36234699720.0
2010-02-03,WBA,36.0,36.19,34.23,34.62,23405250.0,34106723880.0
2010-02-04,WBA,34.72,35.1,33.44,33.45,17080050.0,32954070300.0
2010-02-05,WBA,33.45,33.68,33.0,33.31,12630520.0,32816145940.0
2010-02-08,WBA,33.9,33.9,33.27,33.29,11680160.0,32796442460.0
2010-02-09,WBA,33.55,33.84,33.41,33.61,7249164.0,33111698140.0
2010-02-10,WBA,33.55,33.61,33.02,33.3,6630089.0,32806294200.0
2010-02-11,WBA,33.25,33.6,33.04,33.6,5881770.0,33101846400.0
2010-02-12,WBA,33.38,33.63,33.23,33.49,5645379.0,32993477260.0
2010-02-16,WBA,33.55,34.08,33.35,34.08,5406264.0,33574729920.0
2010-02-17,WBA,33.69,34.57,33.65,34.19,7799156.0,33683099060.0
2010-02-18,WBA,34.33,34.75,34.23,34.69,5136944.0,34175686060.0
2010-02-19,WBA,34.65,34.95,34.52,34.86,4701018.0,34343165640.0
2010-02-22,WBA,35.3,35.31,34.71,34.75,5983792.0,34234796500.0
2010-02-23,WBA,34.62,34.81,34.04,34.76,7834873.0,34244648240.0
2010-02-24,WBA,34.96,35.58,34.6,35.5,7894489.0,34973677000.0
2010-02-25,WBA,35.24,36.13,34.96,36.02,11441360.0,35485967480.0
2010-02-26,WBA,35.95,36.07,35.18,35.24,7104015.0,34717531760.0
2010-03-01,WBA,35.23,35.45,34.87,35.42,6867987.0,34894863080.0
2010-03-02,WBA,35.5,35.77,35.2,35.24,8807591.0,34717531760.0
2010-03-03,WBA,35.15,35.97,35.02,35.36,10596740.0,34835752640.0
2010-03-04,WBA,35.41,35.58,34.93,35.0,8401494.0,34481090000.0
2010-03-05,WBA,35.16,35.26,34.93,34.99,7074781.0,34471238260.0
2010-03-08,WBA,35.11,35.14,34.61,34.74,7873545.0,34224944760.0
2010-03-09,WBA,34.68,34.79,34.26,34.39,7296968.0,33880133860.0
2010-03-10,WBA,34.45,34.66,34.2,34.27,8637034.0,33761912980.0
2010-03-11,WBA,34.2,34.3,33.44,33.94,13191210.0,33436805560.0
2010-03-12,WBA,34.11,34.2,33.84,33.93,6885893.0,33426953820.0
2010-03-15,WBA,33.87,34.18,33.72,34.17,4202197.0,33663395580.0
2010-03-16,WBA,34.27,34.58,34.15,34.51,5480658.0,33998354740.0
2010-03-17,WBA,34.57,34.74,34.29,34.48,5649049.0,33968799520.0
2010-03-18,WBA,34.5,34.87,34.41,34.82,5084542.0,34303758680.0
2010-03-19,WBA,34.77,35.0,34.32,34.53,9662385.0,34018058220.0
2010-03-22,WBA,34.57,35.62,34.57,35.33,10399400.0,34806197420.0
2010-03-23,WBA,35.93,36.19,35.49,35.91,10609010.0,35377598340.0
2010-03-24,WBA,35.87,35.9,35.31,35.4,6244433.0,34875159600.0
2010-03-25,WBA,35.52,36.4,35.45,36.33,9932699.0,35791371420.0
2010-03-26,WBA,36.26,36.86,36.15,36.79,9887367.0,36244551460.0
2010-03-29,WBA,36.68,37.55,36.68,37.49,12950170.0,36934173260.0
2010-03-30,WBA,37.47,37.6,37.23,37.42,6086903.0,36612813180.0
2010-03-31,WBA,37.13,37.3,36.9,37.09,5705636.0,36289931610.0
