date,symbol,open,high,low,close,volume,mktcap
2010-01-04,WMT,53.74,54.67,53.67,54.23,20737690.0,206625627560.0
2010-01-05,WMT,54.09,54.19,53.57,53.69,15635230.0,204568134680.0
2010-01-06,WMT,53.5,53.83,53.42,53.57,12517030.0,204110914040.0
2010-01-07,WMT,53.72,53.75,53.26,53.6,10659300.0,204225219200.0
2010-01-08,WMT,53.43,53.53,53.02,53.33,11353900.0,203196472760.0
2010-01-11,WMT,53.33,54.44,53.1,54.21,13974680.0,206549424120.0
2010-01-12,WMT,54.0,54.75,53.86,54.73,15099510.0,208530713560.0
2010-01-13,WMT,54.79,55.2,54.41,55.01,13268600.0,209597561720.0
2010-01-14,WMT,54.73,54.84,54.16,54.21,13739020.0,206549424120.0
2010-01-15,WMT,54.34,54.55,53.6,53.68,19087350.0,204530032960.0
2010-01-19,WMT,53.91,54.26,53.5,54.03,14600710.0,205863593160.0
2010-01-20,WMT,53.92,53.94,53.23,53.86,13308520.0,205215863920.0
2010-01-21,WMT,54.07,54.07,52.84,52.92,16028680.0,201634302240.0
2010-01-22,WMT,52.96,53.47,52.69,52.94,19414560.0,201710505680.0
2010-01-25,WMT,53.14,53.22,52.78,52.88,12003160.0,201481895360.0
2010-01-26,WMT,52.82,53.86,52.73,53.61,15583970.0,204263320920.0
2010-01-27,WMT,53.52,53.77,53.1,53.4,13192050.0,203463184800.0
2010-01-28,WMT,53.38,53.45,52.51,52.61,16960060.0,200453148920.0
2010-01-29,WMT,53.68,54.15,53.4,53.43,24280640.0,203577489960.0
2010-02-01,WMT,53.62,53.78,53.31,53.48,11018820.0,203767998560.0
2010-02-02,WMT,53.59,53.72,53.33,53.49,11387860.0,203806100280.0
2010-02-03,WMT,53.73,54.5,53.64,54.27,17980350.0,206778034440.0
2010-02-04,WMT,53.88,54.3,52.96,52.97,21029850.0,201824810840.0
2010-02-05,WMT,52.77,53.53,52.76,53.45,15545780.0,203653693400.0
2010-02-08,WMT,53.38,53.54,52.92,52.93,10305620.0,201672403960.0
2010-02-09,WMT,53.21,53.62,52.82,53.25,10824920.0,202891659000.0
2010-02-10,WMT,53.27,53.5,52.96,53.24,9408393.0,202853557280.0
2010-02-11,WMT,53.13,53.45,52.91,53.08,11579590.0,202243929760.0
2010-02-12,WMT,53.11,53.11,52.66,52.9,17038370.0,201558098800.0
2010-02-16,WMT,53.24,53.72,52.9,53.56,15766680.0,204072812320.0
2010-02-17,WMT,53.69,54.25,53.65,54.06,15519590.0,205977898320.0
2010-02-18,WMT,53.2,53.5,52.91,53.47,29448240.0,203729896840.0
2010-02-19,WMT,53.19,53.58,53.07,53.49,15090370.0,203806100280.0
2010-02-22,WMT,53.52,53.92,53.34,53.83,12090010.0,205101558760.0
2010-02-23,WMT,53.75,54.08,53.45,53.62,14137910.0,204301422640.0
2010-02-24,WMT,53.74,53.95,53.48,53.92,10624150.0,205444474240.0
2010-02-25,WMT,53.46,54.28,53.25,54.15,13509970.0,206320813800.0
2010-02-26,WMT,54.22,54.24,53.5,54.07,15952900.0,206016000040.0
2010-03-01,WMT,54.04,54.13,53.54,53.9,12128640.0,205368270800.0
2010-03-02,WMT,53.83,53.89,53.47,53.59,14081320.0,204187117480.0
2010-03-03,WMT,53.35,53.75,53.15,53.66,11627660.0,204453829520.0
2010-03-04,WMT,54.02,54.09,53.75,53.96,11211800.0,205596881120.0
2010-03-05,WMT,53.97,54.17,53.5,54.14,11375090.0,206282712080.0
2010-03-08,WMT,54.01,54.28,53.93,54.15,7556638.0,206320813800.0
2010-03-09,WMT,54.12,54.5,53.92,54.06,12584580.0,205977898320.0
2010-03-10,WMT,53.67,54.02,53.53,53.63,12697000.0,204339524360.0
2010-03-11,WMT,53.64,53.99,53.53,53.97,10673330.0,205634982840.0
2010-03-12,WMT,54.16,54.24,53.79,53.9,10477600.0,205368270800.0
2010-03-15,WMT,54.39,55.54,54.35,55.42,24354110.0,211159732240.0
2010-03-16,WMT,55.88,56.27,55.6,55.99,18452990.0,213331530280.0
2010-03-17,WMT,56.05,56.13,55.66,55.92,12495020.0,213064818240.0
2010-03-18,WMT,55.89,55.95,55.54,55.94,9471917.0,213141021680.0
2010-03-19,WMT,56.03,56.27,55.15,55.34,17183480.0,210854918480.0
2010-03-22,WMT,55.31,56.04,55.13,55.62,9874095.0,211921766640.0
2010-03-23,WMT,55.63,56.0,55.61,55.89,9368755.0,212950513080.0
2010-03-24,WMT,55.73,56.0,55.43,55.58,8698651.0,211769359760.0
2010-03-25,WMT,55.63,55.99,55.6,55.61,9792723.0,211883664920.0
2010-03-26,WMT,55.61,55.96,55.47,55.51,9947257.0,211502647720.0
2010-03-29,WMT,55.5,55.75,55.43,55.74,9776427.0,212378987280.0
2010-03-30,WMT,55.78,56.05,55.66,55.91,6941270.0,213026716520.0
2010-03-31,WMT,55.81,55.9,55.5,55.6,9966853.0,209000844800.0
2010-04-01,WMT,55.75,55.85,55.17,55.49,11788080.0,208587353920.0
2010-04-05,WMT,55.7,55.73,55.22,55.49,10748160.0,208587353920.0
2010-04-06,WMT,55.44,55.63,55.29,55.53,9567068.0,208737714240.0
2010-04-07,WMT,55.5,55.9,55.14,55.28,12934770.0,207797962240.0
2010-04-08,WMT,55.29,55.7,55.16,55.38,10998600.0,208173863040.0
2010-04-09,WMT,55.38,55.38,54.64,55.07,12534220.0,207008570560.0
2010-04-12,WMT,55.02,55.1,54.58,55.02,11954280.0,206820620160.0
2010-04-13,WMT,54.91,55.21,54.66,54.72,12851090.0,205692917760.0
2010-04-14,WMT,54.63,54.91,54.34,54.64,14686790.0,205392197120.0
2010-04-15,WMT,54.15,54.36,53.92,54.13,17650420.0,203475103040.0
2010-04-16,WMT,54.11,54.59,53.84,54.11,19233820.0,203399922880.0
2010-04-19,WMT,54.0,54.48,54.0,54.39,11311790.0,204452445120.0
2010-04-20,WMT,54.49,54.82,54.38,54.52,9092204.0,204513188680.0
2010-04-21,WMT,54.44,54.57,54.18,54.47,11390820.0,204325630730.0
2010-04-22,WMT,54.37,54.65,54.15,54.49,10921120.0,204400653910.0
2010-04-23,WMT,54.47,54.61,53.92,54.53,16595710.0,204550700270.0
2010-04-26,WMT,54.53,54.7,54.01,54.04,14738650.0,202712632360.0
2010-04-27,WMT,53.6,54.42,53.53,54.04,19173910.0,202712632360.0
2010-04-28,WMT,53.92,54.1,53.52,53.61,14897450.0,201099633990.0
2010-04-29,WMT,53.66,54.23,53.55,53.7,13319910.0,201437238300.0
2010-04-30,WMT,53.82,54.15,53.64,53.64,16279340.0,201212168760.0
2010-05-03,WMT,53.88,53.95,53.47,53.74,12300970.0,201587284660.0
2010-05-04,WMT,53.59,54.57,53.55,54.02,18663860.0,202637609180.0
2010-05-05,WMT,54.11,54.95,53.82,54.77,16609820.0,205450978430.0
2010-05-06,WMT,54.35,54.78,51.53,53.23,24067410.0,199674193570.0
2010-05-07,WMT,53.04,53.62,51.8,52.4,28910840.0,196560731600.0
2010-05-10,WMT,53.06,53.24,51.83,52.58,27031290.0,197235940220.0
2010-05-11,WMT,52.35,52.77,52.17,52.46,19615510.0,196785801140.0
2010-05-12,WMT,52.5,52.56,52.13,52.48,13576560.0,196860824320.0
2010-05-13,WMT,52.63,52.97,52.36,52.4,12457890.0,196560731600.0
2010-05-14,WMT,52.41,52.7,52.02,52.12,18648250.0,195510407080.0
2010-05-17,WMT,52.41,52.92,52.04,52.73,16945400.0,197798614070.0
2010-05-18,WMT,53.32,54.45,53.2,53.7,32209830.0,201455994095.0
2010-05-19,WMT,53.53,53.76,52.79,53.04,20408020.0,198961473360.0
2010-05-20,WMT,52.37,52.96,51.3,51.3,27234450.0,192434456700.0
2010-05-21,WMT,50.73,51.37,50.51,51.37,24548560.0,192697037830.0
2010-05-24,WMT,51.04,51.54,50.9,51.0,13557770.0,191309109000.0
2010-05-25,WMT,50.25,50.5,50.0,50.28,24061460.0,188608274520.0
2010-05-26,WMT,50.36,50.6,50.01,50.02,19071540.0,187632973180.0
2010-05-27,WMT,50.52,50.73,50.32,50.7,13958890.0,190183761300.0
2010-05-28,WMT,50.75,50.93,50.5,50.56,14019030.0,189658599040.0
2010-06-01,WMT,50.8,51.51,50.52,50.92,16052860.0,191009016280.0
2010-06-02,WMT,51.23,51.74,51.02,51.72,13664740.0,194009943480.0
2010-06-03,WMT,51.73,52.08,51.48,51.72,10509090.0,194009943480.0
2010-06-04,WMT,51.41,51.7,50.22,50.4,23944240.0,189058413600.0
2010-06-07,WMT,50.46,51.36,50.32,50.74,19500470.0,188227590260.0
2010-06-08,WMT,50.79,50.98,50.53,50.78,20315410.0,188375976220.0
2010-06-09,WMT,50.96,51.36,50.59,50.99,16530880.0,189155002510.0
2010-06-10,WMT,51.21,51.68,51.06,51.22,15826470.0,190008221780.0
2010-06-11,WMT,50.97,51.27,50.55,50.86,14027130.0,188672748140.0
2010-06-14,WMT,51.11,51.46,50.89,51.24,13896320.0,190082414760.0
2010-06-15,WMT,51.2,51.65,51.06,51.64,14309760.0,191566274360.0
2010-06-16,WMT,51.5,51.58,50.92,50.98,15898460.0,189117906020.0
2010-06-17,WMT,51.05,51.49,50.96,51.41,12667230.0,190713055090.0
2010-06-18,WMT,51.41,51.91,51.41,51.55,25425750.0,191232405950.0
2010-06-21,WMT,51.71,51.88,50.71,51.02,14652820.0,189266291980.0
2010-06-22,WMT,51.07,51.47,50.6,50.68,13658120.0,188005011320.0
2010-06-23,WMT,50.76,51.04,50.4,50.81,15945150.0,188487265690.0
2010-06-24,WMT,50.73,50.83,49.95,50.03,14818610.0,185593739470.0
2010-06-25,WMT,49.95,50.2,48.8,48.8,45316230.0,181030871200.0
2010-06-28,WMT,49.06,49.77,49.01,49.57,14676520.0,183887300930.0
2010-06-29,WMT,49.17,49.26,48.43,48.9,20350860.0,181401836100.0
